"date_published","link","title","text"
"2024-09-27","https://www.radiosvoboda.org/a/news-zhinky-zsu-sluzhba/33137992.html","Міноборони: 68 тисяч жінок служать у лавах ЗСУ, з них 5 тисяч у зоні бойових дій","У лавах Збройних сил України нині служать 68 тисяч жінок, з яких понад 48 тисяч – це військовослужбовиці, повідомила державна секретарка Міністерства оборони України Людмила Дараган на міжнародному семінарі з питань гендерної рівності, пише Міноборони. Безпосередньо в зоні бойових дій перебувають близько 5 тисяч військовослужбовиць, зазначили у відомтсві. Дараган звернула увагу на зміни у гендерній політиці Міноборони, які вдалося впровадити протягом останніх років. Зокрема, у 2018 році жінки отримали можливість проходити службу на бойових спеціальностях. Проте ця можливість тривалий час залишалася нереалізованою. «Самого закону виявилося недостатньо. Існував ще й наказ з грифом ДСК, що регламентував офіцерські посади для жінок та чоловіків окремо. У 2022 році, після зміни цього наказу, вдалося подолати ці перепони», – пояснила державна секретарка. Крім того, вдалося покращити рівень речового забезпечення військовослужбовиць. Наприклад, у 2023 році зʼявилася літня жіноча військова форма — до цього була доступна лише парадна. Після початку повномасштабного вторгнення кількість жінок в Збройних силах України зросла на 40%. Це дані кадрового центру ЗСУ станом на жовтень минулого року. У відомстві називають цей показник найбільшим у новітній світовій історії за кількістю жінок на полі бою."
"2024-09-16","https://www.radiosvoboda.org/a/skhemy-kreml-dezinformatsiya-asd-hambashydze/33121898.html","Темники, меми, «реєстр фейків та допреальності». Як працює агенція-підрядник Кремля із дезінформації","Німецькі медіа Süddeutsche Zeitung, NDR і WDR, та естонське інтернет-ЗМІ Delfi отримали витік внутрішніх документів «Агенції соціального дизайну» або «АСД» – підсанкційної в ЄС та США організації, яка, за твердженням американських правоохоронців, працює на замовлення адміністрації президента Російської Федерації. «Схеми» (Радіо Свобода) у співпраці з десятком європейських редакцій дослідили тисячі файлів витоку. У межах проєкту «Фабрика фейків» журналісти виявили, що «АСД», яким керує російський політтехнолог Ілля Гамбашидзе, використовує дезінформацію для дискредитації України, її найвищого керівництва та громадян, а також лідерів західних країн, які її підтримують. При цьому агенція просуває інтереси Росії та тих європейських політиків, які їх обстоюють. Частину документів із цього витоку на початку вересня опублікували американські правоохоронці на підтримку клопотання про арешт інтернет-доменів сайтів, які повʼязують із «АСД». Джерела медіаконсорціуму у західній розвідці на умовах анонімності повідомили, що за їхніми оцінками, отримані журналістами файли – автентичні. Російська «Агенція соціального дизайну» позиціонує себе як організація, що забезпечує замовнику повний медійний супровід. Це й аналіз західного інформаційного поля, і визначення потенційних загроз, і пропозиції варіантів протидії таким викликам, і їхню реалізацію. Про це йдеться у вочевидь непублічній відеопрезентації компанії, яка потрапила до журналістів в межах витоку. Готували її, ймовірно, для чинних чи потенційних клієнтів «АСД». У відео під драматичну музику зʼявляється керівник агенції – Ілля Гамбашидзе. Він знімає темні окуляри та каптур худі у кольорах військового камуфляжу, тоді як закадровий голос каже, що приховуватися більше немає сенсу – кампанію «Doppelganger» («Двійник» – ред.) викрила французька розвідка. No media source currently available Це відео могли зняти після того, як у листопаді 2023 року французька влада заявила, що кампанія «Doppelganger» посилює напругу у країні. Її суть полягала у створенні сайтів-двійників таких поважних медіа, як французький Le Monde або німецький Der Spiegel, та публікації статей, що дискредитують Україну. Охоплювала вона ще й Німеччину, США та Ізраїль. Невдовзі Меta (компанія-власниця Facebook) назвала «Doppelganger» наймасштабнішою російською спецоперацією, з якою їй довелось стикатися з 2017 року. У відео на худі підсанкційного політтехнолога Гамбашидзе – нашивки «російські ідеологічні війська» та «командувач спецпідрозділом». Американські правоохоронці прямо обвинувачують «АСД» у роботі на Кремль, а куратором їхньої діяльності називають Сергія Кірієнка, першого заступника керівника адміністрації президента Росії Володимира Путіна. Відповідно до американських розвідданих, залучена у кампанії «Doppelganger» й інша співробітниця адміністрації Путіна – Софія Захарова. Вона працює в управлінні з розвитку інформаційно-комунікаційних технологій та інфраструктури звʼязку. У витоку даних «Схеми» побачили численні згадки про Софію (на переконання американських спецслужб, йдеться саме про Захарову з президентської адміністрації). Вона, ймовірно, бере участь у плануванні кампаній з дезінформації – її імʼя фігурує у протоколах зустрічей «АСД». Згідно з відеопрезентацією, команда Гамбашидзе працює за трьома напрямами. За чотири місяці, з січня по квітень 2024 року, команда Гамбашидзе виробила 39,899 одиниці контенту, згідно з документом з витоку за назвою «Статистика работы Центра С». Серед них – «посты (31,059), видеоролики и видеомемы (4,641), статьи лонгриды и шортриды (1,455), мемы и графики (2,516), фейки – спецсообщения (238)». Займається «АСД» й розповсюдженням підробок офіційних документів, як, наприклад, пресрелізів Міністерства внутрішніх справ Німеччини та Митної служби Польщі, про що, зокрема, йдеться у відеопрезентації компанії. Журналісти «Схем» знайшли у витоку «АСД» свідчення про фальшування й українських урядових документів. У таблиці «Реестр фейков и допреальности – УКК» у стовпчику «Название фейка» міститься «Приказ из ОП (Офіс президента – ред.) о зачистке». Там прикріплений документ нібито українського Міністерства оборони: розпорядження до голів підрозділів та відомств ЗСУ не підтверджувати «інформацію про перебування військовополонених для обміну на борту» Іл-76, що розбився у Бєлгородській області Росії у січні 2024 року. Мета цього фейку, згідно з супровідними документами, – звинуватити українське військове керівництво у цензурі та приховуванні правди про катастрофу. Росія стверджувала, що на борту перебували 65 українських військовополонених, та звинувачувала ЗСУ у збитті літака. У Генштабі збройних сил заявили, що Іл-76 транспортував ракети С-300, якими Росія обстрілює Україну. Чи були у літаку українські військовополонені достеменно невідомо досі. Одразу після трагедії «Схеми» ідентифікували усіх шістьох членів російського екіпажу та підтвердили загибель половини з них. В «Інституті вивчення війни» (ISW) зауважили, що Росія використовує катастрофу Іл-76, щоб посіяти невдоволення серед українців, та підірвати західну допомогу країні. У «реєстрі фейків та допреальності» є й підробка наказу нібито головнокомандувача ЗСУ Олександра Сирського про прирівнювання здачі в полон військовослужбовцями до державної зради. Мета цього фейку, як йдеться в описі завдання російської агенції – «дискредитація військово-політичного керівництва України та деморалізація ЗСУ». ДОДАНО: Після публікації цього матеріалу, 23 вересня, в Головному управлінні комунікацій ЗСУ прокоментували знахідки журналістів. Зокрема, у відповідь на запит «Схем», у ЗСУ повідомили, що знають про те, що у Росії підробляють офіційні документи відомства, та наголосили – ЗСУ веде комунікації виключно через офіційні ресурси. Повна відповідь ЗСУ – за посиланням. Російські аналітики «АСД» ретельно досліджують інформаційне поле України, виявляють чутливі теми та використовують їх для поляризації суспільства. Серед таких тем, наприклад, мобілізація, втрати на полі бою, обмеження свободи слова під час воєнного стану, зниження військової допомоги, корупція та контрнаступ. Використовують для розколу суспільства й непрості взаємовідносини чинного президента Володимира Зеленського з його попередником Петром Порошенком, чинним мером Києва Віталієм Кличком, а також колишнім головкомом ЗСУ Валерієм Залужним. Боти Гамбашидзе відіграють важливу роль у просуванні різноманітних деструктивних та проросійських наративів в українському сегменті соціальних мереж. У такий спосіб «АСД» поширює меми, карикатури і фейки. Та українські користувачі часто самі викривають російський слід таких «вкидів» через граматичні та логічні помилки. Так сталося і з інфографікою, створеною «креативниками» Гамбашидзе (її оригінал у високій якості, а також інструкції з поширення, журналісти «Схем» знайшли у витоку в папці «Группы поддержки»). Ця ілюстрація мала сприяти розколу українського суспільства, протиставляючи: тих, хто підтримує президента Володимира Зеленського, тим, хто підтримує колишнього головкома ЗСУ Валерія Залужного. Помилки одразу помітила одна з користувачок мережі Х (колишній Twitter – ред.). «АСД» ретельно фіксує діяльність своїх ботів у соцмережах: у витоку є файл зі звітністю про роботу компанії в соцмережі Х. Ця таблиця має колонки: «Дата», «ID (если есть)», «Тип контента», «Платформа», «Username», «Ссылка на коммент» і стовпчик із гіперпосиланнями на скріншоти опублікованих коментарів, як доказ виконаної роботи. Відповідно до інформації з цього файлу, коментарі (текстові та у вигляді мемів) боти залишають під дописами українських державних установ, правоохоронних органів, політичних діячів, українських медіа. Збережені «АСД» скріншоти вказують на те, що боти Гамбашидзе коментували у тому числі й дописи проєкту «Схеми». Значна кількість таких коментарів на час публікації цього матеріалу – вже видалена. Однак деякі з них досі можна знайти під постами, наприклад, Служби безпеки України, Генерального штабу чи Кіберполіції України. Загалом, за інформацією документа «Статистика работы Центра С» з витоку «АСД», з січня по квітень 2024 команда Гамбашидзе опублікувала майже 34 мільйони коментарів.тКерує цим напрямком штатний «оператор ботоферми», згідно з переліком співробітників компанії, що опинився в журналістів. Згідно з документами з витоку «АСД», команда Гамбашидзе створює та тиражує у соцмережах сфабриковані відеосюжети, стилізовані під матеріали західних медіа. Один з них – нібито авторства німецького видання Bild. У ньому йдеться про те, що українські біженці, в намаганні спалити російський прапор, підпалили будинок німців, які дали їм притулок. Ще у травні 2022 року на цей відеосюжет звернув увагу проєкт StopFake. Фактчекери довели, що він сфальсифікований, а сама історія з пожежею – вигадана. Відео скомпілювали зі старих записів 2013 та 2021 років. Однак цей сюжет на початку повномасштабного вторгнення Росії в Україну активно поширювали як російськомовні телеграм-канали (Украина.ру і «Mash на Донбассе»), так і ті, що працюють на європейську аудиторію – німецькомовний Deutchtruth та італійський Veritaitaliana. Документи з витоку «АСД» свідчать про те, що розповсюдженням цього фейку серед європейців займалася команда Гамбашидзе. У файлі-таблиці «Сводная по заявкам МКК» назва цього відео зазначена у колонці «Задачи» і має статус «Произведён». На підтвердження виконання – посилання на публікації телеграм-каналів Deutchtruth та Veritaitaliana (у стовпчиках «Размещение Германия» та «Размещение Италия» відповідно). У цьому ж файлі позначені виконаними й інші «задачі», що вочевидь мали на меті дискредитацію українців за кордоном. Зокрема, зафіксовані публікації у телеграм-каналах німецькою та англійською мовами відео про те, як, наприклад, українець у Неаполі буцімто вирішив пограбувати магазин або як біженці з України начебто змушують відвідувача бару танцювати гопак. Інформація з витоку свідчить, ці сюжети вигадують працівники «АСД», потім обговорюють їхнє створення та фіксують поширення. Ось дещо з запропонованого «креативу» з тієї ж таблиці «Сводная по заявкам МКК»: Останню публікацію «креативникам» замовляли у стилістиці німецького видання Die Zeit. У документах витоку, зокрема є й детальна інструкція про те, як фальсифікувати відео («прийоми для створення фейків»). Ще один приклад фейку, створеного «АСД» для західної аудиторії – нібито торгівля у даркнеті українськими дітьми, яких зі Львова буцімто відправляли до ЄС. Цю вигадку політтехнологи розповсюджували у Телеграм каналах російською, польською, англійською та французькою мовами, а також на пропагандистських вебсайтах та у російській соцмережі VK. Цей, та інші, фейки «АСД» про Україну підхопила, зокрема, й американська конгресвумен від республіканців – Марджорі Тейлор Грін, яка виступає проти допомоги Україні. Софія (ймовірно, Захарова), згідно з протоколом зустрічі від вересня 2023 року, коментувала це наступним чином: «Нова команда зробила фейк крадіжки дітей. Американці всерйоз опублікували. Успіх!». Створений «АСД» мем із зображенням Володимира Зеленського поширив у соцмережі Х і її власник – мільярдер Ілон Маск. Це випливає з протоколу засідання російських політтехнологів, що є у витоку. Згідно з отриманими журналістами документами, в «АСД», серед іншого, намагалисяповпливати й на парламентські вибори в ЄС, що відбувалися в червні 2024 року. На меті було посприяти правим силам, які, за очікуваннями команди Гамбашидзе, мали б просувати проросійські наративи. У документі пропонують «проведення комплексної контркампанії проти ліберальних глобалістів, їхньої платформи та яскравих представників», як, наприклад президентки Європейської комісії Урсули фон дер Ляєн. Охоплювати вона мала головно Німеччину, Францію, Іспанію, Італію та Польщу. Кампанія складалася з чотирьох основних пунктів: закинути політикам при владі: Виконувати завдання планували за допомогою звичних для компанії інструментів – поширення фейків через соцмережі у різноманітних формах. Особливо в «АСД» підтримували партії «Альтернатива для Німеччини» та французький «Національний Фронт». Рейтинги обох політсил команда Гамбашидзе прагнула підняти до 20%. В Німеччині «АСД» намагалася досягнути того, щоб понад половину громадян «не бажали жертвувати своїм добробутом заради перемоги над Росією» та просували наративи про те, що США нібито використовує Німеччину в економічній та гібридній війні з Росією, тоді як країна залишилася беззбройною, адже все, що мала, віддала Україні. Зокрема, ця дезінформаційна кампанія передбачала поширення тверджень про те, що німецькою зброєю в Україні скоюються воєнні злочини та вона потрапляє на чорний ринок. Плани «АСД» на Німеччину та Францію – схожі. З суттєвих відмінностей хіба те, що політтехнологи хотіли досягнути, щоб понад 25% французів забажали виходу їхньої країни з НАТО. Зрештою, попри те, що більшість крісел у парламенті залишилась за демократичними силами, рейтинги «правих» все ж пішли вгору. У документах витоку команда Гамбашидзе приписує цю заслугу собі. «Загалом, сукупний успіх правих на європейських виборах сприймається сьогодні в усьому світі, як успіх російської зовнішньої політики й навіть більше, успіх російської пропаганди», – йдеться в одному з документів. Втім, у документі зауважують, що лідери правих партій не завжди виправдовують очікування Росії. Як приклад наводять Марін Ле Пен, лідерку французьких ультраправих, яка «аплодувала президенту України Володимиру Зеленському в Парижі» під час його виступу перед Національною Асамблеєю в червні 2024 року, та премʼєрку Італії Джорджу Мелоні, яка палко підтримує Україну, попри приналежність до правої партії. Згідно з документами витоку, політтехнологи Гамбашидзе стоять й за запуском, й за розкруткою «політичного руху» прокремлівського політика Віктора Медведчука – «Другая Украина». Про створення цього «руху» колишній голова політради забороненої в Україні партії «Опозиційна платформа за життя» або ОПЗЖ, обвинувачений у державній зраді Віктор Медведчук заявив у січні 2023 року, коли з'явився на російському телебаченні після обміну військовополонених. Офіційно організацію зареєстрували через півроку. Тоді ж «Схеми» з'ясували, що до «Другой Украины» долучилися політичні коментатори з уже закритих проросійських телеканалів, депутати місцевих рад від ОПЗЖ та обвинувачені у державній зраді і сепаратизмі політтехнологи. Вони поширюють антиукраїнські наративи на сторінках «Другой Украины» у соцмережах та на сайті «політичного руху». У файлі «Другая_Украина_Комплексное_сопровождение_в_Интернете» з витоку «АСД» сформульовані основні завдання, визначена цільова аудиторія, ідеологія проєкту, напрямки та види робіт, а також показники ефективності. Віктора Медведчука пропонують позиціонувати як «послідовного борця за мирне майбутнє України», який «розповідає про переваги початку мирного діалогу як про альтернативу можливої ядерної війни» і доносить тези про те, що «Україну мають припинити використовувати як полігон для випробувань західної зброї». «Комплексний супровід» команди Гамбашидзе – це аналітика, написання текстів на сайт, публікації у ЗМІ та робота в соцмережах, яка передбачає «видалення коментарів, що суперечать політиці груп» і «коментарі на підтримку та захист ВМ (Віктор Медведчук – ред.) та його Руху». А ще – «креатив»: одне відео на тиждень, та тричі – графіки та ілюстрації. Журналісти «Схем» перевірили: у папці «аналитика и креатив» є карикатури, якими й справді проілюстровані статті на сайті «Другой Украины». У витоку є й документ-звіт про вже виконану роботу: створення сторінок «Другой Украины» у соцмережах (посилання, що наводяться у документі, справді ведуть на майданчики «політичного руху»). Також повідомляється про успішне поширення матеріалів рубрики #ДежурныйПоДругойУкраине за участю політолога Олександра Дудчака, про антиукраїнські й маніпулятивні блоги якого «Схеми» писали у квітні 2023 року. Втім, попри зусилля політтехнологів Гамбашидзе, аналітики команди відзначають, постать Медведчука викликає переважно негативні коментарі у російській соцмережі «Вконтакте»: «абсолютна більшість негативних коментарів була зосереджена навколо особи Віктора Володимировича Медведчука». У документі йдеться, що 76% коментарів під висловлюванням Віктора Медведчука про зустріч лідерів КНР та Республіки Білорусь у Пекіні – негативні. Мовляв, лідера «Другой Украины» звинувачують у продажності, втечі з України, належності до еліти, співпраці з колегою по ОПЗЖ Юрієм Бойком. Незважаючи на негативне сприйняття Медведчука користувачами соцмереж, в «АСД», схоже, продовжили працювати на «Другую Украину», складали плани щодо просування сайту організації через лідерів громадської думки, ботів та рекламі в соцмережах. Згодом з'ясувалося, що з рекламою є проблеми (про це йдеться в окремому документі), оскільки у «Вконтакте» і «Одноклассниках» заборонено просувати політичні рухи, а «західні соцмережі (Facebook – ред.) не пропускають рекламу через проросійський характер наших матеріалів». Тому рекламу, зазначено у документі, вирішили розміщувати у групах і спільнотах, не пов'язаних із «Другой Украиной». Про те, що Ілля Гамбашидзе може бути одним із головних тіньових радників «Другой Украины», йшлося у статті France 24, опублікованій наприкінці лютого 2024 року. Журналіст-розслідувач телевізійної програми проєкту розслідувань Радіо Свобода «Схеми». Автор книги «1937» про політичну та бізнесову діяльність Віктора Медведчука після Революції Гідності. Народився у селищі Баришівка на Київщині. Здобув освіту інженера в Національному транспортному університеті та філолога в Національному педагогічному університеті ім. М. Драгоманова. Працював у бюро журналістських розслідувань «Свідомо», у газеті «Україна молода», у програмі журналістських розслідувань «Знак оклику» на телеканалі ТВі. У 2015 році розслідування «Questions Raised Over Poroshenko’s Role In Valuable Kyiv Land Deal» («Таємниці землі президента Порошенка») потрапило до шорт-листу міжнародного конкурсу асоціації мовників AIB. Переможець конкурсу журналістських розслідувань ім. В. Сергієнка (2019 рік) із матеріалом «Зелена родина ру» (про кінобізнес Володимира Зеленського у Росії). У 2020 році здобув друге місце на конкурсі журналістських історій DataUp із матеріалом «Американська мрія Віктора Медведчука» (співавтори - Любомира Ремажевська та Олександр Чорновалов). Розслідування «Американська мрія Віктора Медведчука» перемогло на Національному конкурсі журналістських розслідувань. Оголошення переможців та нагородження відбулося під час фестивалю розслідувальної журналістики «Межигір’я Фест» в колишній резиденції експрезидента-втікача Віктора Януковича у вересні 2021 року. Редакторка проєкту розслідувань Радіо Свобода «Схеми» з 2024 року. Журналістка-розслідувачка, співзасновниця українського англомовного медіа The Kyiv Independent, де від початку російського повномасштабного вторгнення і до серпня 2022 року здебільшого висвітлювала воєнні дії, а відтоді та до січня 2024 – очолювала відділ розслідувань. Переможниця та фіналістка міжнародних журналістських премій. За серію розслідувань про зловживання владою в Інтернаціональному Легіоні України отримала нагороди European Press Prize та #AllForJan Award у 2023 році, а також стала фіналісткою Національного конкурсу журналістських розслідувань України у 2022 році. Того ж року, потрапила до списку Forbes 30 Under 30 Europe Media & Marketing list та посіла друге місце в категорії «розслідувальний репортаж» European Press Prize за статтю про контрабанду сигарет компанією впливового колишнього прикордонника. У 2020 році, розділила з іншим журналістом друге місце премії Thomson Foundation Young Journalist Award. З 2019 до 2021 працювала журналісткою політичного відділу в англомовному медіа Kyiv Post, а з 2011 до 2018 року — репортеркою на телеканалах «Україна», «СТБ», та «Донбас». Стипендіатка британської премії Chevening, випускниця магістерської програми з журналістики розслідувань City University of London у 2019 році, та магістерської програми з соціології НПУ ім. Драгоманова у 2017 році. Авторка розслідувань, опублікованих в Organized Crimes and Corruption Reporting Project (OCCRP) та Coda Story, а також колонок, опублікованих у Washington Post та New York Times. Співпрацювала з The Bureau of Investigative Journalism (TBIJ) та International Consortium of Investigative Journalists (ICIJ)."
"2024-08-06","https://www.radiosvoboda.org/a/brudna-richka-bokserka-hermatofrodyt--holovni-skandaly-olimpiady-v-paryzhi/33066456.html","Брудна річка, булінг боксерки та «богохульське» відкриття: скандали Олімпіади","У Франції не стихає скандал довкола церемонії відкриття Олімпійських ігор у Парижі, деякі зі сцен якої, зіграні представниками ЛГБТК спільноти, католицька церква країни назвала «богохульськими». Хвиля обурення прокотилася і після боксерського поєдинку, у якому італійку поборола учасниця із Алжиру, яку у соцмережах назвали «чоловіком-трансгендером». Ще одна скандальна ситуація пов'язана з річкою Сеною, на очищення води у якій Париж перед Олімпіадою витратив 1,4 мільярди євро. Однак, після дощу змагання із плавання все ж довелося переносити. Радіо Свобода дізналося деталі про резонасні скандальні ситуації, пов'язані із Олімпіадою-2024 у Парижі. Церемонія відкриття Олімпійських ігор у Парижі для деяких її організаторів обернулась погрозами про вбивство – вони надійшли деяким учасникам та хореографу-постановнику сцени з дреґ-артистами, тобто людьми, які носять вбранняльні ситуації, пов, притаманне іншій статі. Зазвичай дреґ-артистів повʼязують із гей-культурою і ЛГБТК-спільнотою. Деякі глядачі помітили у перформансі дреґ-артистів схожість з картиною Леонардо Давінчі «Таємна вечеря», де Ісус Христос сидить за столом із 12-тьма апостолами у вечір перед розпʼяттям. Режисер церемонії Тома Жоллі запевняє, що мав намір відтворити інше полотно – «Бенкет богів», де забражено богів Олімпу. Під час перформансу на величезній таці на столі зʼявляється бог виноробства Діоніс. Його грає практично голий співак, загримований у голубий колір, з жовтою бородою та квітковим поясом на стегнах. Позаду танцюють дреґ-артисти. «Ми хотіли поговорити про різноманітність. Різноманітність означає бути разом. Ми хотіли залучити всіх. Все просто», – пояснив свій задум Тома Жоллі. Однак, організатори Олімпіади Париж-2024 через день після церемонії відкриття принесли вибачення католикам та іншим християнським групам, чиї почуття зачепили ці сцени. Обурення висловила Конференція єпископів Франції (CEF), назвавши це «глузуваннями та знущаннями з християн». «Вкрай нешанобливим до християн» шоу назвав мільярдер Ілон Маск. А турецький президент Ердоган уже через кілька днів після публічного вибачення від організаторів дзвонив Папі Римському Франциску, поскаржитись на «аморальну» церемонію, що є «огидним» нападом на святі цінності людства. Авторам постановки, тим часом, почали надходити погрози. Художній керівник церемонії відкриття Олімпіади-2024 Тома Жоллі поскаржився на ці атаки та погрози вбивством через соцмережі. Французька ді-джейка і продюсерка Барбара Бутч також подала скарги до поліції, що їй погрожували смертю, тортурами та зґвалтуванням. Вона стверджує, що стала об’єктом численних антисемітських, гомофобних і сексистських образ. Президент Франції Емманюель Макрон через тиждень після церемонії, 2 серпня, висловив підтримку артистам, похвалив їхню «сміливість» і наполіг, що це шоу змусило Францію пишатися. Водночас нагадав, що критикувати інших та мати свою думку можна, але погрозам немає місця у демократії. «Це продемонструвало сміливість Франції, і все це відбулося із відповідною свободою мистецтва», – сказав Макрон. «Ніщо не виправдовує погрози митцю». Хвилю обурень викликав боксерський поєдинок боксерки з Алжиру Імане Хеліф та італійки Анжели Каріні. Італійка вийшла зі змагань на 46-й секунді, отримавши низку потужних ударів від представниці Алжиру, яку в соцмережах через її зовнішність стали називати «трансгендером»чи висувати припущення, що рівень тестостерону у боксерки явно вищий, ніж допустимо для жіночого виду спорту. Прем’єр-міністрка Італії Джорджія Мелоні назвала змагання не рівними, а авторка «Гаррі Поттера» Джоан Роулінг сказала, що це було «побиття жінки чоловіком». До критиків Імане Хеліф долучився і власник Tesla Ілон Маск, Попри критику та скарги, Міжнародний олімпійський комітет оголосив, що Імане Хеліф, а також ще одна боксерка, щодо статі якої виникли суперечки, – Лінь Ю Тін дворазова чемпіонка світу з Тайваню, – не будуть виключені зі змагань, оскільки вони відповідають усім критеріям: народилися жінками і за документами мають стать жінок. Обидві боксерки уже дійшли до півфіналів у своїх вагових категоріях у Парижі. Торік їх дискваліфікували під час Чемпіонату світу 2023 року після того, як Міжнародна боксерська асоціація (IBA), яка фінансується «Газпромом», заявила, що спортсменки не пройшли тест на відповідність статі. У МОК назвали тестування від ІВА нелегітимним. Виконавчий директор Міжнародної боксерської асоціації тоді відповів, що він не може розголошувати результати тестів на відповідність статі, але дискваліфікація боксерок на Чемпіонаті світу серед жінок 2023 року, мовляв, означає, що громадськість може «читати між рядків». «Результати хромосомних тестів показали, що обидві боксерки не відповідають вимогам», – заявив виконавчий директор IBA Кріс Робертс 5 серпня, після того як МОК став на захист боксерок. Професор геноміки спорту та фізичних вправ у Манчестерському університеті Алан Вільямс, пояснив, що, розглядаючи, чи має людина несправедливу перевагу, необхідно дивитися на хромосоми, рівні тестостерону та інших гормонів, а також на реакцію організму на тестостерон. «Тоді це клінічна оцінка, яка насправді дуже інвазивна», — сказав Вільямс. «Просто дивитися на чиїсь статеві хромосоми... це неповно». Тим часом Reuters розповів, як алжирка Імане Хеліф у дитинстві страждала від побоїв хлопців у дворі, а в 16 років почала займатися боксом, щоб захистити себе. Щоб мати кошти на проїзд 10 км до найближчого спортзалу, дівчина продавала зібраний батьком металобрухт та вирощений матірʼю кус-кус. Після поєдинку 3 серпня з боксеркою з Угорщини Лукою Анною Ахамарі, Імане Хеліф отримала обійми та співчуття від своєї суперниці. «Останні кілька днів були важкими для всіх. Я поважаю її, у мене немає про неї поганих думок, ця ситуація не є її провиною», – сказала журналістам угорка Хаморі, після поразки у поєдинку з Хеліф. Бажання французької влади провести історичні паралелі з Олімпіадою 1900 року, коли Париж вперше приймав Ігри, та організувати водні змагання не у басейнах, а в річці Сена, спровокувало чимало скандалів ще на етапі підготовки до Олімпіади. Французький президент Емманюель Макрон обіцяв перед початком Олімпіади скупатися в Сені, щоб продемонструвати належну якість води, а незадоволені його політикою парижани запустити у соцмережах флешмоб із закликом випорожнитися у річку у день запливу президента. Парижани були невдоволені, що у французькій столиці у головну річку досі зливалися фекалії – низка домогосподарств мала лише такий спосіб позбуватися своїх нечистот, тож у Сені давно ніхто не купався. За кілька років до Олімпіади французька влада почала очищати річку, нарешті облаштувавши належну каналізацію і закривши злив нечистот. Уряд інвестував близько 1,4 мільярда євро у підготовку Сени до Олімпіади. Збудували нову очисну станцію, через яку вода проходить у три етапи, останній з яких включає дію близько сотні ультрафіолетових ламп. За словами операторів, система забезпечує на 99,9% очищенння води від бактерій. За півтора тижні до початку змагань, у Сену демонстративно пірнули міністр спорту Франції та мер Парижа. «Ігри більш ніж кинули нам виклик, вони були рушійною силою та прискорювачем. Але ми робимо це також, тому що нам потрібно адаптувати наше місто до клімату, зміни клімату і відновити нашу річку», – пояснила доцільність інвестицій мер Парижа Анн Ільдаго, після купання у річці. Проте якість води через рясні опади змінювалась і результати тестування все ж змушували організаторів переносити змагання. Так 30 липня відклали чоловічий тріатлон, який зрештою відбувся днем пізніше, вже після жіночих змагань. Переносили і змагання із триатлону – з 3 серпня на 5-те. Спортсмени скаржаться, що через це вони мали стрес і розфокусованість, бо не знали, коли напевне відбудуться змагання і не могли себе налаштувати. Організатори ж запевнили: намагаються уникнути створення стресових ситуацій і повідомляють про змагання напередодні, а не вранці у день запливу. Розповідаю про шлях України до Євросоюзу та НАТО, політику в Брюсселі, життя українців у Бельгії, культуру та кіно. Народилася на Волині, журналістиці навчалась у Києво-Могилянській академії. За подіями в Брюсселі активно стежу з 2014 року, відколи почала працювати брюссельським кореспондентом для українського телебачення. Із липня 2023 року – кореспондентка Радіо Свобода та телеканалу «Настоящее время» (створеного Радіо Свобода з участю «Голосу Америки») в Брюсселі."
