"word","freq"
"україн",256
"жінк",227
"чоловік",186
"жінок",174
"прав",124
"робот",112
"вибор",103
"гендерн",98
"українськ",97
"політичн",97
"країн",91
"політик",89
"насильств",87
"ма",80
"питанн",78
"дитин",77
"свобод",76
"люд",75
"міст",74
"раді",72
"місцев",69
"вваж",65
"парламент",63
"велик",62
"перш",59
"місц",56
"наприклад",56
"мают",55
"президент",55
"крим",54
"закон",53
"суспільств",53
"рад",52
"російськ",52
"змін",51
"справ",51
"війн",50
"проблем",50
"рівност",50
"парті",50
"сил",49
"житт",48
"мов",48
"учасник",48
"слов",47
"громадськ",46
"міжнародн",46
"сексуальн",46
"рівн",46
"різн",45
"громад",44
"марш",44
"реч",43
"нов",43
"людин",42
"гол",42
"розповід",42
"батьк",42
"зокрем",41
"світ",41
"верховн",41
"стат",41
"мал",41
"міськ",41
"частин",40
"процес",40
"герб",40
"представник",40
"проєкт",39
"повинн",39
"стал",39
"взагал",38
"держав",38
"діт",38
"заяв",38
"можлив",38
"жіноч",37
"києв",37
"говорит",37
"певн",37
"міністр",37
"центр",36
"влад",36
"депутат",36
"державн",36
"соціальн",36
"участ",35
"головн",35
"молод",35
"працюв",35
"конвенц",35
"документ",34
"організаці",34
"ді",34
"раз",34
"ситуац",34
"уряд",34
"дан",34
"освіт",34
"відпустк",34
"прайд",34
"конвенці",34
"отрим",33
"сфер",33
"олександр",33
"рок",33
"дод",33
"акці",33
"економічн",32
"злочин",32
"національн",32
"останн",32
"позиц",32
"депутатк",32
"запоріжж",32
"хоч",31
"насправд",31
"декрет",31
"домашн",30
"орган",30
"робит",30
"думк",30
"йдет",30
"боротьб",29
"рівніст",29
"сім",29
"зеленськ",29
"зробит",29
"йти",29
"білорус",29
"стамбульськ",29
"важлив",28
"виклик",28
"статт",28
"єдин",28
"офіційн",28
"дум",28
"заход",28
"посад",28
"політиц",28
"догляд",28
"організац",27
"підтримк",27
"допомог",27
"поясню",27
"власн",27
"момент",27
"постійн",27
"числ",27
"кажут",26
"поліці",26
"принцип",26
"нараз",26
"народ",26
"перемог",26
"фронт",26
"платформ",26
"окрем",25
"можливіст",25
"родин",25
"європейськ",25
"європ",25
"голов",24
"володимир",24
"голос",24
"област",24
"площ",24
"територі",24
"дук",24
"план",24
"пс",24
"рол",24
"рішенн",24
"сектор",24
"відбуваєт",23
"поч",23
"склад",23
"істор",23
"парт",23
"чин",23
"матер",23
"проведенн",23
"партнер",23
"андр",22
"вплив",22
"відповідальніст",22
"донбас",22
"каж",22
"місяц",22
"фактичн",22
"грош",22
"діяльност",22
"можливост",22
"назв",22
"тем",22
"дітьм",22
"захист",21
"available",21
"currently",21
"media",21
"source",21
"випадк",21
"відповід",21
"законодавств",21
"повязан",21
"систем",21
"університет",21
"бізнес",21
"хлопц",21
"цінност",21
"ініціатив",21
"єременк",21
"стан",21
"березн",21
"окупован",20
"вважают",20
"ознак",20
"питан",20
"друг",20
"результат",20
"традиційн",20
"суд",20
"згад",20
"квач",20
"фільм",20
"ярмоленк",20
"кримськ",19
"абсолютн",19
"брат",19
"військов",19
"говор",19
"говорил",19
"займ",19
"позиці",19
"понятт",19
"пішл",19
"ред",19
"читайт",19
"бійц",19
"ден",19
"дружин",19
"олен",19
"ніжельськ",19
"школ",19
"оон",19
"донецьк",18
"кримінальн",18
"рамк",18
"рук",18
"відбул",18
"гривен",18
"жал",18
"карєр",18
"мет",18
"найбільш",18
"слуг",18
"статус",18
"українц",18
"ціл",18
"швидк",18
"розвитк",18
"виборч",18
"важк",18
"декретн",18
"сільськ",18
"фінлянді",18
"активіст",17
"працю",17
"уваг",17
"діяльніст",17
"зазнач",17
"конфлікт",17
"кількіст",17
"робоч",17
"складн",17
"чоловіч",17
"ірин",17
"більш",17
"більшіст",17
"зна",17
"зовнішн",17
"кошт",17
"назив",17
"обовязк",17
"працюют",17
"створенн",17
"хотіл",17
"будьяк",17
"сексизм",17
"стереотип",17
"акц",17
"поліц",17
"правоохоронц",17
"публічн",16
"бок",16
"гот",16
"дня",16
"повніст",16
"спільн",16
"інтерв",16
"історі",16
"вищ",16
"вперш",16
"відбув",16
"груп",16
"досвід",16
"достатн",16
"загроз",16
"залиш",16
"засіданн",16
"мам",16
"подібн",16
"прац",16
"причин",16
"реальн",16
"рух",16
"шлях",16
"культур",16
"текст",16
"вачил",16
"лгбтспільнот",16
"фінськ",16
"керівник",15
"правозахисник",15
"підтримув",15
"військ",15
"вік",15
"законопроєкт",15
"напис",15
"форм",15
"хочут",15
"активн",15
"ефективн",15
"зрозуміл",15
"одраз",15
"ситуаці",15
"скаж",15
"член",15
"вдом",15
"колег",15
"вимог",15
"демократичн",15
"сєвєродонецьк",15
"ход",15
"учасниц",15
"людьм",14
"міністерств",14
"попередн",14
"жертв",14
"каз",14
"наук",14
"неможлив",14
"норм",14
"особист",14
"працювал",14
"пройшл",14
"розумінн",14
"стосуєт",14
