"word","freq"
"україн",1756
"жінок",1090
"жінк",1033
"прав",999
"гендерн",734
"чоловік",716
"українськ",688
"свобод",557
"країн",523
"раді",512
"ма",498
"насильств",466
"рівност",401
"питанн",395
"політик",392
"робот",378
"люд",366
"людин",359
"суспільств",332
"європейськ",319
"слов",311
"політичн",309
"рівн",305
"міжнародн",300
"президент",290
"соціальн",289
"закон",285
"влад",282
"нов",281
"перш",281
"мают",279
"зокрем",274
"місц",273
"представник",265
"діт",264
"національн",259
"парламент",255
"стал",254
"громадськ",251
"війн",248
"ді",246
"світ",243
"проблем",242
"заяв",236
"груп",235
"російськ",234
"велик",232
"змін",231
"військов",229
"житт",227
"справ",227
"питан",225
"верховн",221
"вибор",218
"думк",218
"жіноч",216
"посад",216
"держав",215
"рад",214
"києв",213
"стат",211
"вваж",211
"сил",210
"міст",210
"різн",208
"документ",204
"рок",204
"підтримк",203
"державн",202
"говорит",202
"організаці",201
"уряд",201
"наприклад",196
"участ",196
"суд",196
"єс",195
"раз",195
"захист",191
"можливост",191
"європ",191
"сексуальн",191
"домашн",191
"міністр",190
"дитин",190
"дан",186
"ситуац",183
"росі",177
"депутат",175
"рівніст",173
"сфер",172
"марш",171
"безпек",170
"бок",169
"розповід",168
"останн",167
"рішенн",167
"частин",165
"експерт",165
"певн",164
"випадк",159
"головн",158
"парті",158
"працюв",158
"заход",158
"березн",157
"крим",157
"робит",156
"центр",155
"гол",154
"організац",154
"боротьб",154
"процес",154
"допомог",153
"прогр",153
"злочин",150
"місцев",150
"батьк",148
"учасник",148
"повинн",148
"уваг",146
"мал",146
"міністерств",144
"важлив",144
"освіт",144
"університет",144
"зазнач",143
"орган",142
"взагал",142
"служб",141
"йдет",141
"дівчат",141
"отрим",139
"ден",139
"проект",136
"кількіст",134
"план",134
"дод",134
"законодавств",129
"ірин",129
"журналіст",128
"можлив",128
"дискримінаці",127
"проєкт",126
"українц",126
"чин",126
"тем",124
"відповід",122
"сша",122
"реч",121
"офіційн",120
"нараз",120
"назв",119
"стереотип",119
"склад",118
"власн",118
"нат",117
"конфлікт",117
"конвенці",117
"економічн",115
"працю",114
"комітет",114
"поліці",114
"стан",113
"рол",113
"конвенц",113
"автор",112
"окрем",110
"родин",110
"будьяк",110
"поясню",110
"минул",109
"друг",109
"мов",109
"цінност",109
"парт",106
"напад",106
"прац",106
"зробит",105
"сім",105
"оборон",104
"мет",104
"молод",104
"заклик",104
"позиц",104
"досвід",104
"школ",104
"стамбульськ",104
"оон",104
"статт",103
"ознак",103
"донбас",102
"імен",102
"приклад",101
"істор",101
"реформ",101
"розвитк",100
"систем",100
"здоров",100
"історі",99
"кодекс",99
"квот",99
