"word","freq"
"жінок",108
"жінк",98
"чит",82
"військов",76
"україн",74
"облік",70
"гендерн",62
"чоловік",47
"прац",31
"арестович",30
"жовтн",29
"військовозобовязан",29
"медичн",28
"жіноч",26
"українськ",25
"мают",24
"прав",22
"освіт",22
"мед",21
"оплат",21
"служб",21
"місяц",21
"фармацевтичн",21
"стат",20
"рівност",19
"йдет",19
"міноборон",19
"країн",19
"відповідн",19
"взятт",19
"питан",18
"груп",17
"зсу",17
"орган",17
"війн",17
"нов",17
"організаці",17
"осіб",17
"уряд",17
"закон",17
"олекс",17
"перш",16
"рад",16
"робот",16
"розповіл",16
"підтримк",16
"змін",16
"президент",16
"рівн",15
"забезпеченн",15
"міністр",15
"сил",15
"документ",15
"заяв",15
"люд",14
"офіс",14
"посад",14
"слов",14
"дослідженн",13
"працівник",13
"суспільн",13
"військ",13
"оборон",13
"радник",13
"власн",13
"оон",13
"спеціальност",13
"державн",13
"спеціальніст",13
"дан",12
"компан",12
"можливост",12
"сфер",12
"військовослужбовиц",12
"кордон",12
"стан",12
"сексуальн",12
"центр",12
"куп",12
"вік",11
"кількіст",11
"національн",11
"світ",11
"збройн",11
"участ",11
"ма",11
"українц",11
"ден",11
"зеленськ",11
"бажанн",11
"верховн",11
"необхідн",11
"громадськ",10
"розр",10
"співробітник",10
"насильств",10
"форм",10
"березн",10
"ді",10
"правил",10
"тимчасов",10
"навчанн",9
"повномасштабн",9
"армі",9
"зробит",9
"розрив",9
"ціл",9
"вересн",9
"дод",9
"ставл",9
"жінокмедик",9
"порядок",9
"призовник",9
"строк",9
"політик",8
"представник",8
"сайт",8
"план",8
"позаштатн",8
"раз",8
"стереотип",8
"beginning",8
"подоланн",8
"роботодавц",8
"свириденк",8
"стал",8
"міжнародн",8
"заход",8
"зокрем",8
"страйк",8
"обмеженн",8
"перелік",8
"семінар",8
"колишн",8
"лгбт",8
"міськ",8
"законопроєкт",8
"згідн",8
"оприлюдн",8
"підлягают",8
"підпис",8
"ухвален",8
"комплектуванн",8
"соціальн",8
"nasa",8
"мінекономік",7
"працюют",7
"прокуратур",7
"фот",7
"єдин",7
"фоп",7
"зазначаєт",7
"повідомля",7
"рок",7
"житт",7
"заявил",7
"отриманн",7
"потреб",7
"проєкт",7
"справ",7
"генеральн",7
"людин",7
"питанн",7
"суспільств",7
"умов",7
"відом",7
"норм",7
"грудн",7
"добровільн",7
"наказ",7
"перебувают",7
"порядк",7
"посвідченн",7
"резервіст",7
"резнік",7
"дівчат",7
"нараз",7
"mcdonalds",7
"гутерреш",7
"районн",7
"територіальн",7
"водночас",6
"загал",6
"компані",6
"наголосил",6
"певн",6
"повинн",6
"річн",6
"служит",6
"комісі",6
"листопад",6
"мобілізац",6
"опитуванн",6
"бронежилет",6
"найбільш",6
"пресслужб",6
"світов",6
"тисяч",6
"боротьб",6
"бізнес",6
"економік",6
"курс",6
"мет",6
"міністерств",6
"проект",6
"професійн",6
