"word","freq"
"жінок",602
"жінк",488
"україн",408
"чоловік",299
"гендерн",290
"військов",233
"прав",226
"насильств",213
"суспільн",202
"світ",185
"читайт",177
"робот",176
"країн",173
"чит",149
"слов",147
"облік",140
"жіноч",133
"новин",133
"стат",124
"перш",124
"нов",121
"служб",120
"житт",119
"уряд",117
"мают",115
"українськ",115
"форм",114
"відом",112
"заяв",110
"міжнародн",109
"фот",109
"частин",108
"рівн",108
"ма",105
"міністерств",102
"ден",101
"посад",99
"історі",97
"головн",97
"закон",96
"участ",92
"березн",91
"проблем",89
"міст",87
"діт",84
"люд",84
"сексуальн",81
"оборон",81
"освіт",80
"сил",79
"прац",78
"зокрем",77
"стал",77
"груп",77
"заявил",76
"рад",75
"розповіл",75
"дан",74
"національн",74
"міністр",74
"місц",73
"домашн",73
"документ",72
"організаці",72
"марш",72
"змін",71
"політик",71
"можливост",70
"соціальн",69
"віде",68
"сфер",67
"університет",66
"питан",66
"верховн",66
"google",66
"законопроєкт",66
"суспільств",66
"питанн",65
"рівност",65
"президент",65
"рішенн",64
"користувач",63
"школ",63
"батьк",63
"талашк",63
"сша",62
"аборт",62
"поді",61
"підтримк",61
"telegram",61
"оон",60
"йдет",59
"зсу",59
"дод",59
"дня",58
"військ",58
"людин",58
"дівчат",57
"пошт",57
"навчанн",56
"відповідн",56
"селищ",56
"війн",55
"заповнит",55
"email",55
"protected",55
"діджиталплатформ",54
"надсилайт",54
"опублікуєм",54
"пишіт",54
"повідомляйт",54
"станьт",54
"збройн",53
"ді",53
"вік",53
"стан",52
"міноборон",52
"влад",51
"жовтн",51
"забезпеченн",51
"комітет",51
"згод",49
"думк",49
"центр",49
"боротьб",49
"державн",49
"річн",49
"медичн",49
"повинн",48
"проєкт",48
"різн",48
"здоров",48
"раз",48
"отрим",48
"українц",48
"захист",47
"водночас",47
"серпн",47
"місяц",47
"дослідженн",47
"найбільш",46
"вваж",45
"справ",45
"парламент",45
"відповід",45
"стереотип",45
"домаганн",45
"стамбульськ",45
"дівчин",45
"велик",44
"заход",44
"зазнач",44
"сексизм",44
"організац",43
"програм",43
"згідн",43
