"document","text","negative","positive","sentiment_score"
1,"   жовтня      року студенти спеціальності професійна освіта  цифрові технології  продемонстрували свою природоохоронну ініціативу  завершивши акцію збору та переробки використаних батарейок  ця ініціатива спрямована на зменшення впливу шкідливих речовин на навколишнє середовище та стимулювання студентів до відповідальної поведінки щодо природи  батарейки є складовою частиною нашого повсякденного життя  але навіть використані батарейки можуть надалі виконувати шкідливий вплив на довкілля  якщо не оброблятимуться належним чином  студенти спеціальності професійна освіта  цифрові технології  вирішили долучитися до збору таких батарейок  ініціатор  денис павлюк  група цт  б  та передати їх на подальшу переробку  ініціатори  βасиль пашківський та αртем томашевський  група цт  б   зменшуючи викиди шкідливих речовин  ця акція спрямована на навчання студентів і всіх членів університетського співтовариства відповідальному ставленню до природи та підсиленню свідомості про важливість екологічної стійкості  акція вже отримала підтримку як серед студентів і спрямована на створення сталого середовища та підвищення обізнаності у галузі екології серед молоді  інформацію підготували д пед н   проф  о м трифонова та к пед н  д в соменко  ",1,0,-1
3,"   жовтня      року студенти спеціальності професійна освіта  цифрові технології  продемонстрували свою природоохоронну ініціативу  завершивши акцію збору та переробки використаних батарейок  ця ініціатива спрямована на зменшення впливу шкідливих речовин на навколишнє середовище та стимулювання студентів до відповідальної поведінки щодо природи  батарейки є складовою частиною нашого повсякденного життя  але навіть використані батарейки можуть надалі виконувати шкідливий вплив на довкілля  якщо не оброблятимуться належним чином  студенти спеціальності професійна освіта  цифрові технології  вирішили долучитися до збору таких батарейок  ініціатор  денис павлюк  група цт  б  та передати їх на подальшу переробку  ініціатори  βасиль пашківський та αртем томашевський  група цт  б   зменшуючи викиди шкідливих речовин  ця акція спрямована на навчання студентів і всіх членів університетського співтовариства відповідальному ставленню до природи та підсиленню свідомості про важливість екологічної стійкості  акція вже отримала підтримку як серед студентів і спрямована на створення сталого середовища та підвищення обізнаності у галузі екології серед молоді  інформацію підготували д пед н   проф  о м трифонова та к пед н  д в соменко  ",1,0,-1
5,"впродовж серпня вересня      року д п н   професорка валентина плющ та здобувачі освіти першого  бакалаврського  рівня вищої освіти оп  середня освіта  природничі науки   аліна авраменко та ярослав козурак в дистанційному режимі опанували курс  академічна доброчесність  онлайн курс для викладачів   навчання передбачало вивчення   модулів та виконання тестових завдань і кейсів до кожного модуля  модуль    концепція академічної доброчесності у вищій освіті  вступ до питання академічної доброчесності  документи  які регулюють доброчесність в україні та що належить до порушення академічної доброчесності  а що не належить  модуль    методика викладання  сприяння академічній доброчесності  як методика викладання може посилити культуру академічної доброчесності на ваших заняттях  способи ефективного управління часом та своїм навантаженням та навантаженням студентів  модуль    дизайн освітніх програм та курсів з фокусом на академічну доброчесність  як дизайн освітньої програми може створювати ненавмисні ризики порушення академічної доброчесності та пропонує шляхи  як ці ризики мінімізувати  модуль    основи академічного письма та доброчесності  академічне письмо  як цьому навчати  які є міфи щодо перевірки письмових робіт та розгляд кейсів  модуль    дизайн системи оцінювання для підвищення академічної доброчесності  створення прозорої системи оцінювання та розроблення чітких і прозорих критеріїв до завдання свого курсу  модуль    наукове керівництво та розвиток культури академічної доброчесності  відповідальне наукове керівництво та інструменти планування наукового дослідження  що відповідає вимогам академічної доброчесності  особливої уваги заслуговує те  що під час курсу удосконалено розуміння  як можна розвивати культуру академічної доброчесності  попри предмет та напрям викладання  крім того  під час курсу освоєно теоретичні основи й практичні інструменти  які допомагають посилити культуру академічної доброчесності  за результатами навчання отримано сертифікати про успішне засвоєння курсу  академічна доброчесність  онлайн курс для викладачів  виданий на    годин    кредити єктс   отриманими знаннями та навичками професорка валентина плющ поділилася зі студентами спеціальностей     середня освіта  природничі науки       середня освіта  хімія       середня освіта  біологія та здоров я людини      листопада      року відбулась зустріч  на якій студенти ознайомились з положенням про академічну свободу та академічну доброчесність у центральноукраїнському державному університеті імені володимира винниченка  під час зустрічі були обговорені питання  що таке академічна доброчесність  які причини використання плагіату серед студентів  які типи завдань провокують плагіат  як підтримати академічну доброчесність дистанційного навчання  чи потрібен кодекс честі у навчанні  спілкування зі студентами було дуже плідним та результативним  інформацію підготували д п н   професорка валентина плющ  д п н   професорка ірина сальник  ",6,1,-5
6,"  листопада      року студенти і студентки груп тн  б та викладачка кафедри технологічної та професійної освіти цду імені володимира винниченка о в  пуляк та л о  чистякова в рамках вивчення навчальної дисципліни  історія костюму та моди   відвідали шоурум відомої дизайнерки одягу ірини бровченко  бренд brovchenko давно відомий як в україні  так і за кордоном  а сама дизайнерка цікава та неординарна особистість  тому таке спілкування надзвичайно важливе для студентів та викладачів  розмова пройшла в дружній атмосфері  пані ірина охоче відповідала на запитання  показувала зразки одягу  цікаві дизайнерські рішення   одяг може допомогти людині почувати себе впевнено та зручно  одяг як друга шкіра  перед тим  як створювати одяг для людини  спочатку потрібно зрозуміти будову і особливості самого тіла  поспілкуватись з замовником та створите той одяг  який йому зручний     наголосила ірина бровченко  студенти та викладачки отримали сильні емоції від спілкування  натхнення  корисні знання і практичні навички  дякуємо ірині бровченко за надану можливість і сподіваємося на подальшу співпрацю  інформацію підготувала о в пуляк  доцент кафедри технологічної та професійної освіти   ",0,1,1
8,"   жовтня      року на факультеті математики  природничих наук та технологій цду імені володимира винниченка відбулася зустріч здобувачів вищої освіти спеціальності      середня освіта  природничі науки   із головою студентської ради кариною тимкович  під час зустрічі здобувачів освіти ознайомили з основними завданнями  функціями та складом студентської ради  як вищого виконавчого виборного органу студентського самоврядування університету  у розповіді було зазначено  що органом студентського самоврядування на факультеті є студентська рада  яка є партнером деканату в умовах запровадження університетської автономії  саме це спонукає студентське самоврядування до подальшого розвитку новітніх демократичних ідей  виховання активних  свідомих громадян   патріотів україни  особливо було наголошено на участі студради у питаннях захисту прав та інтересів студентів  зокрема  була окреслена робота студкураторів  студентів старших курсів  які допомагають першокурсникам в адаптації до студентського життя  плануванні освітньої діяльності  розв язанні організаційних питань тощо  також голова студентської ради наголосила на важливості участі у студентському самоврядуванні та житті університету  волонтерських проєктах  у заходах  присвячених спорту та туризму  культурі та мистецтву  освіті та законності  медіа  презентувала сторінки університету та інституту в соціальних мережах  велику увагу під час зустрічі було приділено питанням задоволеністю здобувачами освіти самою оп  середня освіта  природничі науки   й організацією освітнього процесу в університеті  під час обговорення оп  середня освіта  природничі науки   здобувачі освіти в цілому висловили свою задоволеність  разом з тим під час формування нового проєкту оп запропонували збільшити кількість годин  присвячених методиці організації дистанційного та змішаного навчання  в завданнях для самостійної роботи більшу частину формувати як завдання з практико орієнтованим змістом  окреслені пропозиції передано гаранту оп валентині плющ  як зауважили здобувачі освіти  зустріч пройшла плідно та цікаво  інформацію надано кафедрою природничих наук та методик їхнього навчання  ",0,1,1
10,"цьогорічний диктант єдності  дороги україни  проводився із традиційною метою   об єднати всіх українців як в україні  так і за її межами  оскільки вже другий рік поспіль написання радіодиктанту проходить в умовах війни  захід має особливий патріотичну значущість   він об єднує українців  надихає і додає сил у боротьбі з викликами  надзвичайна атмосфера єднання панувала і в стінах цду імені володимира винниченка  де зібрались студенти  викладачі та співробітники усіх факультетів  щоби разом поподорожувати  дорогами україни   а також перевірити свої знання з української мови та поспілкуватись  студенти університету активно долучились до акції  хтось із них писав диктант вперше  хтось бере участь в акції щороку  але для всіх написання радіодиктанту національної єдності   це вагома подія  окремо слід зазначити  що перед диктантом відбулося вручення нагород студентам  які перемогли в конкурсі  найграмотніший студент університету   а саме  олександра савенко  група м  б   олександр пономарьов  група ст  б   ольга поліщук  група мла  б   надія паливода  група м  б   пишаємося нашими студентами і бажаємо наснаги у подовженні традицій національної єдності через мову   генетичний код нації  інформацію підготувала заступник декана ольга рєзіна  ",0,1,1
14,"   жовтня      року професор кафедри математики та цифрових технологій микола садовий взяв участь в засіданні робочої групи освітньо наукової програми підготовки доктора філософії зі спеціальності     професійна освіта  за спеціалізаціями  державного вищого навчального закладу  донбаський державний педагогічний університет   освітньо наукова програма націлена на розвиток здобувачів освіти у сфері професійної освіти за спеціалізаціями  на засіданні було висвітлені такі питання    результати обговорення освітньо наукової програми підготовки доктора філософії зі спеціальності     професійна освіта  цифрові технології     затвердження плану роботи зі стейкхолдерами    узгодження тем дисертаційних досліджень аспірантів  обговорення було конструктивним і відзначалося активною участю науково педагогічних працівників із різних регіонів україни  микола садовий висловили надію  що розглядувана програма підготовки докторів філософії сприятиме подальшому розвитку професійної освіти та внесе вагомий внесок у галузь  інформацію підготував д пед н   проф  микола садовий  ",0,1,1
15,"кожного року університетська спільнота з нетерпінням чекає вернісажу талантів  де студенти можуть продемонструвати власну творчість  виявити мистецькі здібності  першокурсники фмпнт взяли участь у цьому заході  де розкрили художні таланти  одним із неочікуваних моментів вернісажу талантів      було відкриття заходу пісню michael bublé  sway  у виконанні студента іі курсу максима мелешка  переможця вернісажу талантів      року  його виступ був свідченням того  що мистецтво підсилює велич людини  адже максим гармонійно поєднав спів і сценічну майстерність  далі на сцену вийшла софія омельченко  студентка групи бх  б  яка принесла до вернісажу літературну красу через читання вірша роберта бернса  моє серце в верховині   її виразність та чуттєве виконання зачарували глядачів  музичні презентації також вирізнялися на цьому заході  студентка групи бх  б катерина димченко виконала пісню дмитра волканова  намалюю   а олексій демченко з групи ст  б подарував слухачам пісню сергія жадана  листопад   їхні таланти та глибоке виконання додали заходу особливої атмосфери  пісня  там у тополі  від артема пивоварова та nk у виконанні вероніки козлової  група бх  б  та богдана дуная  група кн  б  додала музичного різноманіття заходу  особливо розважила аудиторію сценка  бог студентства  від групи іст  б  адже учасники продемонстрували свої акторські здібності на високому рівні  танцювальні номери урізноманітнили вернісаж талантів       запальний танець від студентів групи м  б вразив аудиторію своєю енергією та ритмічністю  флешмоб від груп мла  б та кн  б додав заходу чудесної атмосфери  а український танок  go a solovey   виконаний студентками груп гк  б та тн  б  вразив всіх енергетикою і національною запалом  фмпнт засяяв українською культурою  сцена також ожила від руханки від студентів групи інф  б  адже всі глядачі в залі виконували вправи і релаксували  наприкінці заходу студенти групи кн  б виконали пісню    ий колір  від мотор ролла  цей виступ особливо вразив присутніх і був завершальним на вернісажі талантів       усіх учасників гучними оплесками привітали студенти  куратори і викладачі  декан факультету тетяна фурсикова зазначила  що на факультеті математики  природничих наук та технологій навчається талановита молодь  усі учасники вернісажу отримали грамоти в особливих номінаціях  вернісаж талантів        це неймовірне дійство  справжнє свято мистецтва  творчості та єднання  студенти продемонстрували свої таланти і переконали всіх  що крім навчального й наукового потенціалу мають безмежний артистизм  фмпнт   родина успішних і талановитих і студентів  інформацію надано студрадою факультету  ",3,1,-2
19,"у понад     країнах світу двічі на рік переводять стрілки годинників  навесні   на годину вперед  а восени   на годину назад  перехід на літній час в україні здійснюється в останню неділю березня о   годині  а перехід на зимовий  поясний  час   в останню неділю жовтня о   годині  у      році перехід на зимовий час припадає на    жовтня  яка ж користь від переходу на літній час  першим таку ідею запропонував у      році один з батьків засновників сполучених штатів америки бенджамін франклін  щоб зекономити запаси свічок  людина прокидається зазвичай на початку світлового дня  а лягає спати значно пізніше  ніж заходить сонце  переведення годинника на годину вперед сприяє ефективнішому використанню денного світла  узимку такий ефект не спостерігаємо  бо сонце сходить пізніше за звичний час пробудження людей  і те  що зекономимо ввечері  утратимо вранці  тут доцільніше повертатися до поясного часу  який є більш близьким до природного  сонячного  часу  у народі його називають  зимовий   у системі поясного часу вся поверхня землі розділена на    часових пояси  у межах поясу час однаковий і дорівнює сонячному часу його центрального меридіану  піонером запровадження літнього часу стала німеччина  під час першої світової війни     квітня      року  перевели стрілки годинників на годину вперед  а   жовтня      р    на годину назад  невдовзі такі ж зміни запровадила велика британія     березня      року конгрес сша на період війни запровадив літній час з метою заощадження палива  що використовувалося для генерації електричного струму  більшість країн  серед них й україна  за рекомендацією європейської економічної комісії оон датою переходу на літній час обрали останню неділю березня  а датою повернення на стандартний час   останню неділю жовтня  поза межами європи є різні традиції щодо дати переходу на літній час і назад  у сша  наприклад  розширюють період дії літнього часу на кілька тижнів порівняно з європейським варіантом  щоб показати свою відмінність від інших цивілізованих країн  росія та її союзники в      році відмовилися від системи літнього часу       року президент росії д  медведєв видав указ  згідно з яким після переходу на літній час у березні      р  подальші переведення годинника були скасовані  таким чином  у багатьох місцевостях росії час відрізняється від сонячного приблизно на   години протягом усього року     вересня      р  аналогічну постанову ухвалила рада міністрів республіки білорусь  спроба влади януковича запровадити такий самий порядок обчислення часу в україні виявилася невдалою     вересня      за постанову про відміну системи літнього часу в україні проголосували     народних депутатів  але після критичних виступів громадськості та численних протестів мешканців західної україни постанову було визнано такою  що втратила чинність  це повернуло україну до європейського часу  отже  у найближчу неділю     жовтня  дружно переводимо годинник на годину назад і отримуємо змогу на годину довше поспати у понеділок зранку  підготував доцент кафедри природничих наук і методик їхнього навчання о  в  волчанський  ",6,3,-3
21,"   жовтня студенти й викладачі факультеті математики  природничих робіт та технологій зустрілися з євгенією шерстюк  начальницею служби управління персоналом нвп  радій   ця зустріч є важливою для здобувачів вищої освіти  оскільки компанія  радій  є лідером з розробки інформаційно цифрових систем безпеки та обладнання для промислових підприємств україни та світу  пані євгенія розповіла про важливість практико зорієнтованого навчання  про вимоги до сучасного фахівця і можливість навчатися із професіоналами у сфері інформаційних технологій  про інновації в галузі  про співпрацю та подальший розвиток  студенти активно залучалися до діалогу  ставили запитання та обговорювали теми  пов язані з майбутніми виробничими практиками та можливостями для молоді на ринку сучасної індустрії  наприкінці зустрічі студенти й викладачі отримали запрошення на екскурсію до нвп  радій   обговорили питання подальшої співпраці та обміну досвідом  інформацію надано кафедрою інформатики та інформаційних технологій  ",0,2,2
