"document","text","negative","positive","sentiment_score"
1,"24 жовтня 2023 року студенти спеціальності Професійна освіта (Цифрові технології) продемонстрували свою природоохоронну ініціативу, завершивши акцію збору та переробки використаних батарейок. Ця ініціатива спрямована на зменшення впливу шкідливих речовин на навколишнє середовище та стимулювання студентів до відповідальної поведінки щодо природи. Батарейки є складовою частиною нашого повсякденного життя, але навіть використані батарейки можуть надалі виконувати шкідливий вплив на довкілля, якщо не оброблятимуться належним чином. Студенти спеціальності Професійна освіта (Цифрові технології) вирішили долучитися до збору таких батарейок (ініціатор: Денис Павлюк, група ЦТ20Б) та передати їх на подальшу переробку (ініціатори: Βасиль Пашківський та Αртем Томашевський, група ЦТ22Б), зменшуючи викиди шкідливих речовин. Ця акція спрямована на навчання студентів і всіх членів університетського співтовариства відповідальному ставленню до природи та підсиленню свідомості про важливість екологічної стійкості. Акція вже отримала підтримку як серед студентів і спрямована на створення сталого середовища та підвищення обізнаності у галузі екології серед молоді. Інформацію підготували д.пед.н., проф. О.М.Трифонова та к.пед.н. Д.В.Соменко 0",1,0,-1
2,"Вже багато років продовжується партнерство кафедри інформатики та інформаційних технологій з ІТ компанією Онікс-Системз.. У середу, 1 листопада на факультеті математики, природничих наук та технологій відбулась традиційна зустріч студентів і викладачів з представниками найуспішнішої регіональної IT-компанії Onix Спікери Onix поспілкувалися зі студентами спеціальностей 122 Комп’ютерні науки та 014 Середня освіта (Інформатика). Здобувачі освіти ознайомилися з напрямками роботи компанії. Довідалися про запровадження системи, відмінної від інтернатур для студентів, які мають невеликий досвід, але знають напрям, в якому рухатись. Проєкт називається Пошук талантів і впроваджується у нашому місті. Пошук здійснюються за такими напрямами: 3D Android Designer Flutter Java ML PHP QA React/React Native Ruby Salesforce Shopify Vue WordPress/Webflow На зустрічі також були присутні науково-педагогічні працівники кафедри, оскільки спілкування зі стейкхолдерами важливе й для викладачів. Підготовка сучасних кадрів для ІТ-галузі – це надзвичайно цікава і відповідальна справа, адже потрібно врахувати всі аспекти професійної діяльності, узгодити проблеми та перспективи, тримати зворотний зв'язок від усіх зацікавлених сторін. Колектив кафедри інформатики та ІТ щиро вдячний за активну участь стейкхолдерів у практичній підготовці наших студентів і сподівається на подальшу співпрацю! Інформацію надано кафедрою інформатики та інформаційних технологій 0",NA,NA,NA
3,"24 жовтня 2023 року студенти спеціальності Професійна освіта (Цифрові технології) продемонстрували свою природоохоронну ініціативу, завершивши акцію збору та переробки використаних батарейок. Ця ініціатива спрямована на зменшення впливу шкідливих речовин на навколишнє середовище та стимулювання студентів до відповідальної поведінки щодо природи. Батарейки є складовою частиною нашого повсякденного життя, але навіть використані батарейки можуть надалі виконувати шкідливий вплив на довкілля, якщо не оброблятимуться належним чином. Студенти спеціальності Професійна освіта (Цифрові технології) вирішили долучитися до збору таких батарейок (ініціатор: Денис Павлюк, група ЦТ20Б) та передати їх на подальшу переробку (ініціатори: Βасиль Пашківський та Αртем Томашевський, група ЦТ22Б), зменшуючи викиди шкідливих речовин. Ця акція спрямована на навчання студентів і всіх членів університетського співтовариства відповідальному ставленню до природи та підсиленню свідомості про важливість екологічної стійкості. Акція вже отримала підтримку як серед студентів і спрямована на створення сталого середовища та підвищення обізнаності у галузі екології серед молоді. Інформацію підготували д.пед.н., проф. О.М.Трифонова та к.пед.н. Д.В.Соменко 0",1,0,-1
4,"Вже багато років продовжується партнерство кафедри інформатики та інформаційних технологій з ІТ компанією Онікс-Системз.. У середу, 1 листопада на факультеті математики, природничих наук та технологій відбулась традиційна зустріч студентів і викладачів з представниками найуспішнішої регіональної IT-компанії Onix Спікери Onix поспілкувалися зі студентами спеціальностей 122 Комп’ютерні науки та 014 Середня освіта (Інформатика). Здобувачі освіти ознайомилися з напрямками роботи компанії. Довідалися про запровадження системи, відмінної від інтернатур для студентів, які мають невеликий досвід, але знають напрям, в якому рухатись. Проєкт називається Пошук талантів і впроваджується у нашому місті. Пошук здійснюються за такими напрямами: 3D Android Designer Flutter Java ML PHP QA React/React Native Ruby Salesforce Shopify Vue WordPress/Webflow На зустрічі також були присутні науково-педагогічні працівники кафедри, оскільки спілкування зі стейкхолдерами важливе й для викладачів. Підготовка сучасних кадрів для ІТ-галузі – це надзвичайно цікава і відповідальна справа, адже потрібно врахувати всі аспекти професійної діяльності, узгодити проблеми та перспективи, тримати зворотний зв'язок від усіх зацікавлених сторін. Колектив кафедри інформатики та ІТ щиро вдячний за активну участь стейкхолдерів у практичній підготовці наших студентів і сподівається на подальшу співпрацю! Інформацію надано кафедрою інформатики та інформаційних технологій 0",NA,NA,NA
5,"Впродовж серпня-вересня 2023 року д.п.н., професорка Валентина Плющ та здобувачі освіти першого (бакалаврського) рівня вищої освіти ОП «Середня освіта (Природничі науки)» Аліна Авраменко та Ярослав Козурак в дистанційному режимі опанували курс «Академічна доброчесність: онлайн-курс для викладачів». Навчання передбачало вивчення 6 модулів та виконання тестових завдань і кейсів до кожного модуля: Модуль 1. Концепція академічної доброчесності у вищій освіті. Вступ до питання академічної доброчесності. Документи, які регулюють доброчесність в Україні та що належить до порушення академічної доброчесності, а що не належить. Модуль 2. Методика викладання: сприяння академічній доброчесності. Як методика викладання може посилити культуру академічної доброчесності на ваших заняттях. Способи ефективного управління часом та своїм навантаженням та навантаженням студентів. Модуль 3. Дизайн освітніх програм та курсів з фокусом на академічну доброчесність. Як дизайн освітньої програми може створювати ненавмисні ризики порушення академічної доброчесності та пропонує шляхи, як ці ризики мінімізувати. Модуль 4. Основи академічного письма та доброчесності. Академічне письмо, як цьому навчати, які є міфи щодо перевірки письмових робіт та розгляд кейсів. Модуль 5. Дизайн системи оцінювання для підвищення академічної доброчесності. Створення прозорої системи оцінювання та розроблення чітких і прозорих критеріїв до завдання свого курсу. Модуль 6. Наукове керівництво та розвиток культури академічної доброчесності. Відповідальне наукове керівництво та інструменти планування наукового дослідження, що відповідає вимогам академічної доброчесності. Особливої уваги заслуговує те, що під час курсу удосконалено розуміння, як можна розвивати культуру академічної доброчесності, попри предмет та напрям викладання. Крім того, під час курсу освоєно теоретичні основи й практичні інструменти, які допомагають посилити культуру академічної доброчесності. За результатами навчання отримано сертифікати про успішне засвоєння курсу «Академічна доброчесність: онлайн-курс для викладачів» виданий на 60 годин (2 кредити ЄКТС). Отриманими знаннями та навичками професорка Валентина Плющ поділилася зі студентами спеціальностей 014 Середня освіта (Природничі науки), 014 Середня освіта (Хімія), 014 Середня освіта (Біологія та здоров’я людини). 01 листопада 2023 року відбулась зустріч, на якій студенти ознайомились з Положенням про академічну свободу та академічну доброчесність у Центральноукраїнському державному університеті імені Володимира Винниченка. Під час зустрічі були обговорені питання: що таке академічна доброчесність, які причини використання плагіату серед студентів, які типи завдань провокують плагіат, як підтримати академічну доброчесність дистанційного навчання, чи потрібен кодекс честі у навчанні? Спілкування зі студентами було дуже плідним та результативним. Інформацію підготували д.п.н., професорка Валентина Плющ, д.п.н., професорка Ірина Сальник 0",6,1,-5
6,"2 листопада 2023 року студенти і студентки груп ТН22Б та викладачка кафедри технологічної та професійної освіти ЦДУ імені Володимира Винниченка О.В. Пуляк та Л.О. Чистякова в рамках вивчення навчальної дисципліни «Історія костюму та моди», відвідали шоурум відомої дизайнерки одягу Ірини Бровченко. Бренд BROVCHENKO давно відомий як в Україні, так і за кордоном, а сама дизайнерка цікава та неординарна особистість. Тому таке спілкування надзвичайно важливе для студентів та викладачів. Розмова пройшла в дружній атмосфері, пані Ірина охоче відповідала на запитання, показувала зразки одягу, цікаві дизайнерські рішення. «Одяг може допомогти людині почувати себе впевнено та зручно, одяг як друга шкіра. Перед тим, як створювати одяг для людини, спочатку потрібно зрозуміти будову і особливості самого тіла, поспілкуватись з замовником та створите той одяг, який йому зручний.» – наголосила Ірина Бровченко. Студенти та викладачки отримали сильні емоції від спілкування, натхнення, корисні знання і практичні навички. Дякуємо Ірині Бровченко за надану можливість і сподіваємося на подальшу співпрацю. Інформацію підготувала О.В.Пуляк, доцент кафедри технологічної та професійної освіти. 0",0,1,1
7,"Студенти 4 курсу спеціальності 014 Середня освіта (Інформатика) освітньої програми «Середня освіта (Інформатика та Математика)» розпочинати виконання завдань навчальної пропедевтичної практики з фаху. Ця практика є підготовчим етапом до виробничої педагогічної практики, вона спрямована на поєднання теоретичної підготовки майбутніх педагогів із практичною діяльністю вчителів закладів загальної середньої освіти. У межах програми практики студенти групи ІНФ20Б відвідали ліцей «Науковий», де ознайомилися із правилами ведення шкільної документації, зокрема електронного журналу. Шкільний електронний журнал є складником системи «Єдина школа» – інформаційно-комунікаційної автоматизованої системи, призначеної для закладів освіти, учнів та їхніх батьків, і яка зараз активно використовується в Україні. Учитель інформатики вищої категорії Наталія Дроговоз ознайомила студентів із правилами ведення шкільного електронного журналу, зокрема як: занотувати зміст уроку; відмітити відвідуваність та виставити оцінки; обрати тип заняття та вид оцінки; створити домашнє завдання і прикріпити файли до нього у вигляді текстових, фото-, відео-, аудіо- матеріалів; друкувати сторінки електронного журналу та зберігати в архівному файлі, імпортувати/експортувати дані (MS Excel, PDF тощо). Студенти були зацікавлені доповіддю та презентацією, ставили слушні запитання як от: скільки потрібно часу для опанування системи? Чи можна вносити зміни до журналу? Чи наявна техпідтримка? У зустрічі взяла участь гарант освітньої програми, доцент кафедри інформатики та інформаційних технологій Ольга Рєзіна. Висловлюємо щиру подяку керівництву ліцею «Науковий» за надану можливість ознайомитися із сучасною системою «Єдина школа», що є дуже важливим для майбутніх учителів інформатики. Інформацію надано кафедрою інформатики та інформаційних технологій 0",NA,NA,NA
8,"23 жовтня 2023 року на факультеті математики, природничих наук та технологій ЦДУ імені Володимира Винниченка відбулася зустріч здобувачів вищої освіти спеціальності 014 «Середня освіта (Природничі науки)» із головою студентської ради Кариною Тимкович. Під час зустрічі здобувачів освіти ознайомили з основними завданнями, функціями та складом студентської ради, як вищого виконавчого виборного органу студентського самоврядування університету. У розповіді було зазначено, що органом студентського самоврядування на факультеті є студентська рада, яка є партнером деканату в умовах запровадження університетської автономії. Саме це спонукає студентське самоврядування до подальшого розвитку новітніх демократичних ідей, виховання активних, свідомих громадян – патріотів України. Особливо було наголошено на участі студради у питаннях захисту прав та інтересів студентів. Зокрема, була окреслена робота студкураторів, студентів старших курсів, які допомагають першокурсникам в адаптації до студентського життя, плануванні освітньої діяльності, розв'язанні організаційних питань тощо. Також голова студентської ради наголосила на важливості участі у студентському самоврядуванні та житті університету, волонтерських проєктах, у заходах, присвячених спорту та туризму, культурі та мистецтву, освіті та законності, медіа; презентувала сторінки університету та інституту в соціальних мережах. Велику увагу під час зустрічі було приділено питанням задоволеністю здобувачами освіти самою ОП «Середня освіта (Природничі науки)» й організацією освітнього процесу в університеті. Під час обговорення ОП «Середня освіта (Природничі науки)» здобувачі освіти в цілому висловили свою задоволеність. Разом з тим під час формування нового проєкту ОП запропонували збільшити кількість годин, присвячених методиці організації дистанційного та змішаного навчання; в завданнях для самостійної роботи більшу частину формувати як завдання з практико-орієнтованим змістом. Окреслені пропозиції передано гаранту ОП Валентині Плющ. Як зауважили здобувачі освіти, зустріч пройшла плідно та цікаво! Інформацію надано кафедрою природничих наук та методик їхнього навчання 0",0,1,1
9,"21 жовтня відзначається Міжнародний день академічної доброчесності, до якого долучилася українська наукова та освітянська спільнота вперше приєдналася у 2020 році. У Центральноукраїнському державному університеті імені Володимира Винниченка велика увага приділяється питанням академічної доброчесності та впровадженню міжнародних стандартів у цій галузі. 25 жовтня на кафедрі технологічної та професійної освіти у змішаному форматі було проведено семінар «Академічна доброчесність в ЗВО» на якому з доповідями виступили викладачі кафедри та здобувачі спеціальностей Середня освіта (Трудове навчання та технології) та Професійна освіта (Технологія виробів легкої промисловості). Присутніх ознайомили із діючими принципами академічної доброчесності в університеті, Положенням про академічну свободу та академічну доброчесність у Центральноукраїнському державному університеті імені Володимира Винниченка, яке розміщене на сайті університету, процедурою реалізації та контролю академічної доброчесності на кафедрі технологічної та професійної освіти тощо. Академічна доброчесність визнається як мотивоване та відповідальне навчання та викладання, яке є основою високої якості освіти та шляхом до формування свідомого громадянського суспільства. Поняття академічної доброчесності охоплює багато аспектів, включаючи загальну корпоративну культуру університету, внутрішню культуру студентів, а також моральні та етичні принципи. Учасники семінару жваво обговорили актуальні проблеми та отримали відповіді на запитання, які програми перевірки унікальності тексту зараз є доступними для викладачів та здобувачів, яким чином досягати дотримання академічної доброчесності в наукових дослідженнях та ін. Програма семінару Матеріал надано кафедрою технологічної та професійної освіти 0",NA,NA,NA
10,"Цьогорічний диктант єдності «Дороги України» проводився із традиційною метою – об’єднати всіх українців як в Україні, так і за її межами. Оскільки вже другий рік поспіль написання радіодиктанту проходить в умовах війни, захід має особливий патріотичну значущість – він об’єднує українців, надихає і додає сил у боротьбі з викликами. Надзвичайна атмосфера єднання панувала і в стінах ЦДУ імені Володимира Винниченка, де зібрались студенти, викладачі та співробітники усіх факультетів, щоби разом поподорожувати «Дорогами України», а також перевірити свої знання з української мови та поспілкуватись. Студенти університету активно долучились до акції. Хтось із них писав диктант вперше, хтось бере участь в акції щороку, але для всіх написання Радіодиктанту національної єдності – це вагома подія. Окремо слід зазначити, що перед диктантом відбулося вручення нагород студентам, які перемогли в конкурсі “Найграмотніший студент університету”, а саме: Олександра Савенко (група М23Б); Олександр Пономарьов (група СТ23Б); Ольга Поліщук (група МЛА23Б); Надія Паливода (група М23Б). Пишаємося нашими студентами і бажаємо наснаги у подовженні традицій національної єдності через мову – генетичний код нації! Інформацію підготувала заступник декана Ольга Рєзіна 0",0,1,1
