"word","n","document","tf","idf","tf_idf"
"a",34,"a",1,8.63675242647388,8.63675242647388
"abituriientiv",1,"abituriientiv",1,8.63675242647388,8.63675242647388
"academic",1,"academic",1,8.63675242647388,8.63675242647388
"addy",6,"addy",1,8.63675242647388,8.63675242647388
"addyab",4,"addyab",1,8.63675242647388,8.63675242647388
"addyd",4,"addyd",1,8.63675242647388,8.63675242647388
"addydd",4,"addydd",1,8.63675242647388,8.63675242647388
"administration",1,"administration",1,8.63675242647388,8.63675242647388
"aeronautics",1,"aeronautics",1,8.63675242647388,8.63675242647388
"aestivum",1,"aestivum",1,8.63675242647388,8.63675242647388
"af",1,"af",1,8.63675242647388,8.63675242647388
"akademichnoi",2,"akademichnoi",1,8.63675242647388,8.63675242647388
"algorimi",1,"algorimi",1,8.63675242647388,8.63675242647388
"allvideos",2,"allvideos",1,8.63675242647388,8.63675242647388
"and",5,"and",1,8.63675242647388,8.63675242647388
"android",1,"android",1,8.63675242647388,8.63675242647388
"anet",1,"anet",1,8.63675242647388,8.63675242647388
"application",1,"application",1,8.63675242647388,8.63675242647388
"applied",2,"applied",1,8.63675242647388,8.63675242647388
"approach",1,"approach",1,8.63675242647388,8.63675242647388
"architect",1,"architect",1,8.63675242647388,8.63675242647388
"arduino",4,"arduino",1,8.63675242647388,8.63675242647388
"article",1,"article",1,8.63675242647388,8.63675242647388
"b",32,"b",1,8.63675242647388,8.63675242647388
"bada",8,"bada",1,8.63675242647388,8.63675242647388
"bandapixels",5,"bandapixels",1,8.63675242647388,8.63675242647388
"battle",1,"battle",1,8.63675242647388,8.63675242647388
"bayraktar",1,"bayraktar",1,8.63675242647388,8.63675242647388
"be",1,"be",1,8.63675242647388,8.63675242647388
"beabb",8,"beabb",1,8.63675242647388,8.63675242647388
"between",1,"between",1,8.63675242647388,8.63675242647388
"billinfo",1,"billinfo",1,8.63675242647388,8.63675242647388
"bills",1,"bills",1,8.63675242647388,8.63675242647388
"bit",1,"bit",1,8.63675242647388,8.63675242647388
"bkh",1,"bkh",1,8.63675242647388,8.63675242647388
"bli",1,"bli",1,8.63675242647388,8.63675242647388
"bluetooth",3,"bluetooth",1,8.63675242647388,8.63675242647388
"bookvar",1,"bookvar",1,8.63675242647388,8.63675242647388
"bridge",1,"bridge",1,8.63675242647388,8.63675242647388
"browser",1,"browser",1,8.63675242647388,8.63675242647388
"by",1,"by",1,8.63675242647388,8.63675242647388
"c",19,"c",1,8.63675242647388,8.63675242647388
"café",1,"café",1,8.63675242647388,8.63675242647388
"canva",1,"canva",1,8.63675242647388,8.63675242647388
"capacity",1,"capacity",1,8.63675242647388,8.63675242647388
"card",1,"card",1,8.63675242647388,8.63675242647388
"cats",1,"cats",1,8.63675242647388,8.63675242647388
"cc",8,"cc",1,8.63675242647388,8.63675242647388
"cd",8,"cd",1,8.63675242647388,8.63675242647388
"center",2,"center",1,8.63675242647388,8.63675242647388
