"word","n","document","tf","idf","tf_idf"
"a",71,"a",1,9.11118280044296,9.11118280044296
"abituriientiv",1,"abituriientiv",1,9.11118280044296,9.11118280044296
"academic",1,"academic",1,9.11118280044296,9.11118280044296
"academy",2,"academy",1,9.11118280044296,9.11118280044296
"acm",1,"acm",1,9.11118280044296,9.11118280044296
"ad",8,"ad",1,9.11118280044296,9.11118280044296
"adaptation",1,"adaptation",1,9.11118280044296,9.11118280044296
"add",8,"add",1,9.11118280044296,9.11118280044296
"addy",26,"addy",1,9.11118280044296,9.11118280044296
"addyab",4,"addyab",1,9.11118280044296,9.11118280044296
"addyd",4,"addyd",1,9.11118280044296,9.11118280044296
"addydd",4,"addydd",1,9.11118280044296,9.11118280044296
"addyfef",4,"addyfef",1,9.11118280044296,9.11118280044296
"administration",1,"administration",1,9.11118280044296,9.11118280044296
"advisori",1,"advisori",1,9.11118280044296,9.11118280044296
"aeronautics",1,"aeronautics",1,9.11118280044296,9.11118280044296
"aestivum",1,"aestivum",1,9.11118280044296,9.11118280044296
"af",9,"af",1,9.11118280044296,9.11118280044296
"agroexpo",1,"agroexpo",1,9.11118280044296,9.11118280044296
"airfreshmax",1,"airfreshmax",1,9.11118280044296,9.11118280044296
"ajkkmge",1,"ajkkmge",1,9.11118280044296,9.11118280044296
"akademia",2,"akademia",1,9.11118280044296,9.11118280044296
"akademichnoi",2,"akademichnoi",1,9.11118280044296,9.11118280044296
"akty",1,"akty",1,9.11118280044296,9.11118280044296
"algorimi",1,"algorimi",1,9.11118280044296,9.11118280044296
"all",1,"all",1,9.11118280044296,9.11118280044296
"allvideos",4,"allvideos",1,9.11118280044296,9.11118280044296
"alma",1,"alma",1,9.11118280044296,9.11118280044296
"amazon",1,"amazon",1,9.11118280044296,9.11118280044296
"and",9,"and",1,9.11118280044296,9.11118280044296
"android",11,"android",1,9.11118280044296,9.11118280044296
"anet",1,"anet",1,9.11118280044296,9.11118280044296
"antykoruptsiini",1,"antykoruptsiini",1,9.11118280044296,9.11118280044296
"apple",2,"apple",1,9.11118280044296,9.11118280044296
"application",1,"application",1,9.11118280044296,9.11118280044296
"applied",3,"applied",1,9.11118280044296,9.11118280044296
"approach",1,"approach",1,9.11118280044296,9.11118280044296
"ar",1,"ar",1,9.11118280044296,9.11118280044296
"arbook",1,"arbook",1,9.11118280044296,9.11118280044296
"architect",1,"architect",1,9.11118280044296,9.11118280044296
"arduino",20,"arduino",1,9.11118280044296,9.11118280044296
"arena",1,"arena",1,9.11118280044296,9.11118280044296
"art",1,"art",1,9.11118280044296,9.11118280044296
"article",1,"article",1,9.11118280044296,9.11118280044296
"artificial",1,"artificial",1,9.11118280044296,9.11118280044296
"aurdino",3,"aurdino",1,9.11118280044296,9.11118280044296
"avanger",1,"avanger",1,9.11118280044296,9.11118280044296
"b",72,"b",1,9.11118280044296,9.11118280044296
"backend",1,"backend",1,9.11118280044296,9.11118280044296
"bada",8,"bada",1,9.11118280044296,9.11118280044296
