"Term","Score"
"практик",269.014547687888
"освіт",227.023104309095
"гендерн",220.479985067243
"педагогічн",205.050536645943
"професійн",192.305780524199
"семінар",178.11229648474
"україн",170.522833815501
"середн",169.377309328967
"професор",164.833169921189
"тем",164.254344632712
"доктор",159.69860593874
"вищ",158.325838443524
"доцент",157.662238786177
"науков",157.564946484697
"робот",156.726524824925
"навчанн",156.642781596364
"кафедр",153.412319539453
"клас",152.357714021465
"технологічн",150.833488833264
"університет",147.201237160554
"кандидат",146.992575901671
"методик",142.906930312528
"освітн",142.435383222156
"заклад",142.24897754145
"школ",142.146666806012
"учн",135.93949237864
"математик",134.996295472913
"національн",134.85194721523
"проєкт",134.015895462719
"факультет",129.314830247091
"груп",129.112257862824
"навчальн",128.565342495493
"вчител",127.763448377956
"державн",126.71319354552
"студент",125.339927680144
"фізик",124.205740856133
"конференці",123.707412747747
"урок",123.037266188661
"імен",122.809137067434
"учасник",120.246250723454
"викладач",118.650127176156
"курс",116.235423030459
"ступен",115.422510622322
"керівник",115.291949009095
"област",112.140089605517
"кіровоградськ",111.864375883932
"наук",109.466144626439
"технологі",107.667817121112
"винниченк",106.287029419943
"володимир",105.94736557499
