"Term","Score"
"практик",573.878602032221
"педагогічн",499.948310768948
"освіт",445.916648688416
"професійн",415.480954546737
"гендерн",400.316180026736
"професор",388.041561380085
"робот",367.674016976078
"доктор",362.48459003293
"семінар",356.188755262788
"університет",354.711384572908
"технологічн",345.496914300111
"науков",344.515944398514
"учн",340.852006742098
"доцент",338.998772484093
"навчанн",338.01517547158
"освітн",333.000009925683
"команд",331.232226939033
"україн",331.134595444368
"середн",330.762148118889
"заклад",330.410697575802
"вищ",323.322163982953
"кафедр",322.993996114607
"методик",319.284663392379
"студент",309.78620901148
"математик",307.6634016124
"груп",305.541075177624
"проєкт",304.880675748865
"інформатик",298.456074143065
"кандидат",296.475048179788
"денис",294.648450671175
"тем",290.803354293243
"факультет",287.290909713592
"викладач",283.892544899985
"державн",283.706100646954
"учасник",282.26837851392
"вчител",278.756354528003
"школ",278.60532707568
"наук",273.109022566684
"імен",266.285941256062
"національн",265.024382798531
"навчальн",260.235530575971
"технологі",259.87812069353
"клас",258.834707199989
"курс",258.604520934349
"конференці",257.969472363461
"керівник",246.728381763047
"конкурс",244.054409361899
"прогр",238.934967183881
"фізик",237.43204242789
"заход",230.527016260278
