"word","freq"
"освіт",589
"наук",489
"студент",400
"педагогічн",316
"навчанн",313
"кафедр",261
"математик",254
"робот",246
"університет",224
"професійн",223
"україн",219
"доцент",211
"факультет",205
"технолог",192
"практик",186
"природнич",173
"методик",167
"середн",159
"професор",143
"заклад",141
"вищ",137
"освітн",137
"державн",132
"доктор",132
"науков",132
"спеціальност",131
"імен",129
"винниченк",121
"тем",121
"учасник",113
"викладач",108
"навчальн",108
"учн",107
"груп",105
"інформац",104
"технологі",100
"вчител",93
"курс",93
"школ",93
"кандидат",91
"технологічн",90
"володимир",89
"област",89
"кіровоградськ",86
"центральноукраїнськ",85
"семінар",83
"участ",82
"керівник",80
"підготовк",79
"національн",79
"проєкт",79
"гендерн",76
"фізик",73
"доповід",70
"рівн",68
"клас",68
"процес",66
"заход",65
"сучасн",64
"прогр",64
"дистанційн",63
"конференці",63
"особливост",62
"питанн",62
"урок",61
"нов",60
"діяльност",60
"підготув",60
"інформатик",59
"завданн",58
"дослідженн",56
"українськ",56
"результат",55
"компютерн",55
"практичн",55
"програм",55
"перш",55
"умов",54
"майбутн",54
"зустріч",53
"кропивницьк",53
"ступен",53
"систем",52
"використанн",51
"завідувач",51
"декан",51
"присутн",50
"зокрем",49
"основн",48
"відбул",48
"формуванн",48
"інформаційн",48
"дисциплін",47
"цифр",47
"заступник",47
"безпек",45
"організаці",44
"етап",44
"засіданн",44
"ден",44
"актуальн",43
"володимирівн",43
"форм",43
"виробнич",43
"прац",43
"матеріал",42
"розвитк",42
"фахов",42
"відбув",42
"отрим",42
"здобувач",42
"завдан",42
"ім",42
"досвід",42
"активн",41
"проведенн",41
"задач",41
"створенн",41
"досліджен",40
"захист",40
"студентськ",40
"учен",40
"ознайомил",39
"мал",39
"центр",39
"цікав",39
"команд",39
"цдпу",39
"географі",39
"обговоренн",38
"міськ",38
"зміст",38
"менеджмент",38
"теорі",38
"можливост",38
"житт",38
"інститут",37
"різн",37
"загальн",36
"галуз",36
"молод",36
"олімпіад",36
"застосуванн",36
"міст",35
"занятт",35
"випускник",34
"успішн",34
"листопад",34
"учител",34
"методичн",34
"баз",34
"метод",34
"надан",33
"результ",33
"подальш",33
"виступ",33
"мет",32
"натал",32
"член",32
"платформ",32
"жовтн",32
"обласн",31
"дпедн",31
"виконанн",31
"творч",31
"вересн",31
"земл",31
"комунальн",31
"міжнародн",31
"проблем",31
"питан",31
"математичн",31
"змін",30
"друг",30
"омтрифон",30
"підготувал",30
"засоб",30
"економік",30
"статистик",30
"доцентк",30
"уваг",30
"стал",30
"представник",29
"розробк",29
"денис",29
"взял",29
"відділ",29
"фахівц",29
"дня",29
"географ",29
"знанн",29
"вебінар",29
"відповід",28
"компетентност",28
"середовищ",28
"старш",28
"важлив",28
"науковометодичн",28
"аналіз",28
"проходженн",28
"біологі",28
"виступил",27
"грудн",27
"вивченн",27
"комісі",27
"план",27
"тетян",27
"google",27
"всеукраїнськ",27
"допомог",27
"абрам",27
"співпрац",27
"життєдіяльност",27
"робіт",26
"серг",26
"ректор",26
"забезпеченн",26
"літн",26
"червн",26
"змог",26
"оксан",26
"педагогік",26
"ліц",26
"сфер",26
"охорон",26
"васил",25
"гол",25
"навичок",25
"садов",25
"необхідн",25
"юл",25
"напн",25
"методист",25
"розповіл",25
"матері",24
"склад",24
"управлінн",24
"відкрит",24
"успіх",24
"дан",24
"сонц",24
"директор",24
"конференц",24
"підвищенн",24
"власн",24
"підход",24
"людин",24
"єс",24
"хімі",24
"професійнотехнічн",24
"знан",23
"технічн",23
"ліце",23
"людмил",23
"наступн",23
"підсумк",23
"науковц",23
"лют",23
"шлях",23
"виховн",23
"віктор",22
"презентув",22
"студентк",22
"цифров",22
"моделюванн",22
"жур",22
"доц",22
"годин",22
"стан",22
"департамент",22
"запропонован",22
"прикладн",22
"здоров",22
"першокурсник",22
"опп",22
"магістерськ",21
"микол",21
"осн",21
"рівен",21
"труд",21
"організац",21
"загальноосвітн",21
"місадов",21
"перспектив",21
"працівник",21
"теоретичн",21
"рад",21
"хвил",21
"олен",20
"напрямк",20
"традиційн",20
"іі",20
"дефорж",20
"модел",20
"можливіст",20
"навчальновиховн",20
"онлайн",20
"детальн",20
"яременк",20
"історі",20
"слов",20
"щир",20
"частин",20
"європейськ",20
"модельн",20
"раз",19
"вид",19
"екзамен",19
"здобутк",19
"кваліфікаційн",19
"проведен",19
"рішенн",19
"трудов",19
"павлюк",19
"переможц",19
"кіберполіці",19
"спікер",19
"присвячен",19
"воєнн",19
"сонячн",19
"вимог",18
"програмн",18
"проф",18
"роман",18
"ольг",18
"волчанськ",18
"вироб",18
"свят",18
"stem",18
"аспект",18
"презентован",18
"післядипломн",18
"рол",18
"наголосил",18
"ріжняк",18
"ірин",18
"країн",18
"місц",18
"презентаці",18
"представлен",18
"лекц",18
"якост",18
"представил",18
"реалізаці",18
"курсов",18
"дмитр",17
"технік",17
"трифон",17
"електронн",17
"соціальн",17
"бажаєм",17
"війн",17
"промисловост",17
"березн",17
"миколаївн",17
"режим",17
"філософі",17
"істор",17
"завершенн",17
"назв",17
"презентац",17
"продемонструв",17
"слухач",17
"відвід",17
"висок",17
"ренат",17
"світ",17
"кваліфікаці",17
"організатор",17
"діяльніст",17
"катерин",17
"затемненн",17
"субнаціональн",17
"травн",17
"вихованн",16
"шкільн",16
"ціл",16
"бакалаврськ",16
"долучил",16
"мон",16
"стандарт",16
"діт",16
"легк",16
"надал",16
"захід",16
"рис",16
"валентин",16
"науковопрактичн",16
"цтб",16
"ііі",16
"відзначил",16
"інтерактивн",16
"відбудет",16
"основ",16
"біолог",16
"куратор",16
"складн",16
"ма",16
"мов",16
"географічн",16
"період",16
"служб",16
"комплекс",16
"квітн",16
"доповідач",16
"андр",15
"мают",15
"олександр",15
"отриман",15
"розвиток",15
"керуванн",15
"профорієнтаційн",15
"сайт",15
"фізикоматематичн",15
"астрономі",15
"вітаєм",15
"дипл",15
"чистяк",15
"skills",15
"віталіївн",15
"педагог",15
"конкурсн",15
"перемог",15
"ботуз",15
"хім",15
"психологічн",15
"іде",15
"зан",15
"навичк",15
"студрад",15
"бакалавр",15
"модул",15
"рамк",15
"проходил",15
"параметр",15
"спеціальніст",15
"психологі",15
"дзво",15
"магістратур",14
"пройшл",14
"змаганн",14
"постійн",14
"дизайн",14
"думк",14
"предмет",14
"приклад",14
"ярославович",14
"євген",14
"верховн",14
"дякуєм",14
"запитанн",14
"над",14
"пробл",14
"академічн",14
"вступ",14
"держав",14
"головн",14
"досягненн",14
"аспірант",14
"пуляк",14
"цінност",14
"рівност",14
"поширенн",14
"змішан",13
"михайлівн",13
"соменк",13
"ді",13
"сист",13
"формат",13
"анн",13
"коледж",13
"співробітник",13
"екологічн",13
"півкул",13
"soft",13
"петрівн",13
"історичн",13
"фронт",13
"інструмент",13
"документ",13
"прав",13
"велик",13
"розпочал",13
"проректор",13
"особлив",13
"розвязанн",13
"яскрав",13
"двсоменк",13
"сальник",13
"проводил",13
"викладачк",13
"виклик",13
"тренінг",13
"кпедн",13
"окрем",13
"пасічник",13
"рівніст",13
"краснощок",13
"ход",13
"мсіт",13
"туризм",12
"олександрівн",12
"сергіївн",12
"значн",12
"академі",12
"працюв",12
"учениц",12
"учнівськ",12
"цду",12
"аспірантк",12
"повн",12
"глядач",12
"долучит",12
"колектив",12
"оцінюванн",12
"голов",12
"конкурс",12
"вітальн",12
"вигляд",12
"мяк",12
"привіт",12
"фурсик",12
"корисн",12
"навчальнометодичн",12
"отриманн",12
"атмосфер",12
"викон",12
"провел",12
"економічн",12
"коротк",12
"надзвичайн",12
"структур",12
"інн",12
"var",12
"трет",12
"фізичн",11
"куценк",11
"освітньопрофесійн",11
"теор",11
"meet",11
"мереж",11
"островськ",11
"висловил",11
"виконан",11
"керівництв",11
"дат",11
"робоч",11
"інтернет",11
"абітурієнт",11
"шкіл",11
"бажаюч",11
"виконув",11
"кіровоградщин",11
"запрошуєм",11
"розвязуванн",11
"богдан",11
"реалізац",11
"конкретн",11
"науковопедагогічн",11
"отримув",11
"поділил",11
"програмуванн",11
"українц",11
"меж",11
"простор",11
"спеціалізован",11
"переваг",11
"еразмус",11
"враженн",11
"лекці",11
"працевлаштуванн",11
"підприємств",11
"місяц",11
"баланс",11
"міждисциплінарн",11
"реал",11
"аудит",11
"січн",11
"василівн",10
"вікторович",10
"звязк",10
"миколайович",10
"розумінн",10
"удосконаленн",10
"віт",10
"обран",10
"різноманітн",10
"викладанн",10
"кз",10
"очн",10
"світлан",10
"проход",10
"точк",10
"полтавськ",10
"суспільств",10
"координатор",10
"ладиф",10
"наголос",10
"ознайом",10
"ознайомленн",10
"протиді",10
"розпов",10
"розпоч",10
"закінченн",10
"тематик",10
"ознайомит",10
"розгляд",10
"кількіст",10
"люд",10
"останн",10
"приємн",10
"напрям",10
"організаційн",10
"громадськ",10
"компонент",10
"рєзін",10
"моніторинг",10
"організован",10
"широк",10
"звітн",10
"правил",10
"спостеріг",10
"here",10
"блок",10
"спрямован",10
"відновленн",10
"регіональн",10
"вдал",10
"регіон",10
"вибор",10
"вплив",10
"момент",10
"повідомленн",10
"послуг",10
"акбаш",10
"сухомлинськ",10
"космічн",10
"олександрійськ",10
"посад",9
"робототехнік",9
"шевченк",9
"іспит",9
"ефективн",9
"колект",9
"перевірк",9
"передвищ",9
"відповідн",9
"лабораторі",9
"овволчанськ",9
"справ",9
"визнач",9
"відбуваєт",9
"зимов",9
"рівноденн",9
"створен",9
"триваліст",9
"біологічн",9
"володимирович",9
"вчен",9
"ганн",9
"заслужен",9
"нпу",9
"обговорюв",9
"оновленн",9
