"word","freq"
"освіт",1277
"наук",1078
"студент",1007
"навчанн",686
"кафедр",680
"математик",568
"робот",567
"педагогічн",541
"професійн",534
"технолог",525
"університет",506
"факультет",473
"природнич",427
"доцент",419
"україн",396
"середн",337
"практик",336
"спеціальност",322
"освітн",322
"методик",318
"викладач",308
"імен",297
"професор",287
"інформац",283
"учн",283
"заклад",282
"науков",278
"учасник",264
"вищ",262
"державн",261
"груп",258
"технологі",255
"доктор",245
"винниченк",237
"технологічн",223
"проєкт",219
"володимир",218
"інформатик",204
"участ",200
"навчальн",199
"курс",196
"заход",193
"тем",190
"вчител",178
"школ",178
"кандидат",171
"підготовк",170
"інформаційн",169
"сучасн",166
"команд",165
"центральноукраїнськ",163
"област",163
"кіровоградськ",152
"процес",151
"семінар",151
"прогр",149
"нов",149
"зустріч",148
"національн",146
"цікав",145
"майбутн",143
"особливост",142
"керівник",142
"кропивницьк",141
"денис",140
"питанн",137
"зокрем",137
"підготув",136
"діяльност",132
"практичн",132
"досвід",130
"розвитк",127
"активн",126
"різн",125
"здобувач",124
"систем",124
"присутн",123
"рівн",123
"українськ",123
"компютерн",121
"фізик",121
"цифр",120
"гендерн",120
"використанн",119
"конференці",119
"клас",119
"відбул",117
"перш",116
"надан",115
"завданн",115
"доповід",112
"програм",112
"студентськ",110
"можливост",107
"формуванн",105
"умов",104
"ознайомил",103
"завідувач",102
"галуз",101
"дослідженн",101
"результат",100
"отрим",100
"співпрац",99
"дистанційн",99
"проведенн",97
"матеріал",94
"актуальн",94
"допомог",94
"міськ",94
"молод",93
"створенн",93
"декан",93
"баз",93
"виробнич",91
"мет",91
"цду",90
"засіданн",90
"дисциплін",89
"основн",88
"проблем",87
"знанн",87
"урок",86
"павлюк",85
"можливіст",85
"обговоренн",85
"форм",85
"житт",84
"стал",84
"натал",84
"організаці",84
"конкурс",84
"тетян",84
"робототехнік",84
"міст",82
"центр",82
"академічн",81
"власн",81
"безпек",81
"задач",81
"мал",80
"відбув",80
"березн",79
"етап",78
"менеджмент",78
"ім",78
"випускник",78
"подальш",77
"підвищенн",77
"олен",77
"ден",76
"економік",76
"проф",75
"виступ",75
"володимирівн",75
"оксан",75
"дан",74
"міжнародн",74
"заступник",74
"фахов",74
"дпедн",73
"сфер",73
"завдан",72
"підготувал",72
"взял",72
"творч",72
"ступен",72
"ліце",71
"квітн",71
"член",70
"загальн",69
"метод",69
"діт",69
"людмил",69
"раз",68
"інститут",68
"фахівц",68
"перспектив",67
"уваг",67
"успішн",67
"захист",67
"досліджен",67
"технічн",67
"старш",66
"застосуванн",66
"комунальн",66
"представник",65
"відвід",65
"важлив",65
"забезпеченн",65
"олімпіад",65
"кіберполіці",65
"робіт",64
"розробк",64
"провел",64
"прац",64
"математичн",64
"управлінн",63
"результ",63
"відкрит",63
"засоб",63
"занятт",62
"навичк",62
"олександр",62
"дня",62
"цтб",61
"вивченн",61
"цифров",61
"садов",61
"платформ",61
"виконанн",60
"електронн",60
"питан",60
"труд",60
"навичок",60
"місц",60
"директор",60
"жовтн",59
"годин",59
"зміст",59
"микол",59
"мрі",59
"відділ",58
"кваліфікаці",58
"аналіз",58
"людин",57
"виступил",57
"проведен",57
"реалізаці",57
"спікер",56
"захід",56
"модел",56
"доцентк",56
"омтрифон",55
"друг",55
"ольг",55
"учител",55
"серг",55
"абрам",55
"технік",55
"частин",54
"працівник",54
"здоров",54
"ліц",54
"долучил",54
"ма",54
"методист",54
"програмуванн",54
"ірин",53
"змог",53
"розповіл",53
"департамент",53
"напрямк",52
"проходженн",52
"конференц",52
"лют",52
"презентув",52
"середовищ",51
"відповід",51
"меж",51
"вироб",51
"спільн",51
"коледж",51
"студентк",50
"трифон",50
"програмн",50
"літн",50
"методичн",50
"план",49
"світ",49
"знан",49
"педагогік",49
"юл",49
"особлив",48
"рад",48
"склад",48
"вебінар",48
"представлен",48
"жур",48
"змін",47
"велик",47
"компетентност",47
"гост",47
"успіх",47
"обласн",47
"слухач",46
"вересн",46
"спеціальніст",46
"прикладн",46
"географі",46
"учен",46
"якост",45
"наступн",45
"дмитр",45
"біологі",45
"географ",45
"запропонован",45
"ректор",45
"google",45
"всеукраїнськ",45
"гол",44
"присвячен",44
"війн",44
"лекц",44
"психологічн",44
"теорі",44
"червн",44
"продемонструв",43
"шлях",43
"корисн",43
"науковометодичн",43
"віктор",43
"роман",43
"необхідн",43
"науковц",43
"тренінг",43
"листопад",42
"дизайн",42
"пуляк",42
"підсумк",42
"статистик",42
"дефорж",42
"економічн",42
"підход",42
"рол",42
"осн",42
"працюв",42
"стан",42
"травн",42
"аспект",41
"біолог",41
"теоретичн",41
"висок",41
"країн",41
"європейськ",41
"організатор",41
"рівен",41
"професійнотехнічн",41
"діяльніст",40
"презентаці",40
"онлайн",40
"kroprobots",40
"основ",39
"мистецтв",39
"соціальн",39
"легк",39
"мов",39
"місадов",39
"хімі",39
"історі",39
"лабораторі",39
"трудов",39
"здобутк",39
"цдпу",39
"мают",38
"розвиток",38
"катерин",38
"організац",38
"земл",38
"андр",38
"завершенн",38
"матері",38
"дякуєм",37
"наголосил",37
"охоч",37
"істор",37
"вид",37
"формат",37
"інноваційн",37
"переможц",37
"сист",37
"зан",37
"моделюванн",37
"фізикоматематичн",37
"єс",37
"щир",36
"вступ",36
"модул",36
"отриман",36
"поділил",36
"хім",36
"запитанн",36
"промисловост",36
"презентац",36
"доц",36
"напн",36
"дар",36
"підтримк",35
"спілкуванн",35
"традиційн",35
"рамк",35
"правил",35
"фізичн",35
"комісі",35
"тижн",35
"слов",35
"васил",35
"розпов",35
"надзвичайн",34
"вимог",34
"шкільн",34
"бажаєм",34
"показ",34
"протиді",34
"змаганн",34
"перемог",34
"рівност",34
"загальноосвітн",34
"науковопедагогічн",33
"викладачк",33
"ганн",33
"сонц",33
"миколаївн",33
"різноманітн",33
"проходил",33
"кпедн",32
"стейкхолдер",32
"валентин",32
"доброчесност",32
"предмет",32
"інструмент",32
"чистяк",32
"висловил",32
"виклик",32
"над",32
"магістерськ",32
"іде",32
"організован",32
"ді",32
"сонячн",32
"підприємств",32
"виховн",32
"назв",32
"яременк",32
"керуванн",32
"грудн",32
"керівництв",31
"оцінюванн",31
"рішенн",31
"вихованн",31
"сайт",31
"співробітник",31
"позитивн",31
"приклад",31
"детальн",31
"світлан",31
"долучит",30
"надал",30
"талант",30
"режим",30
"прав",30
"студрад",30
"дат",30
"інтернет",30
"ботуз",30
"іі",30
"островськ",30
"іт",29
"педагог",29
"першокурсник",29
"інтерес",29
"стандарт",29
"богдан",29
"враженн",29
"компонент",29
"послуг",29
"волчанськ",29
"ресурс",29
"колектив",29
"стат",29
"трет",29
"простор",29
"розвязуванн",29
"життєдіяльност",29
"напрям",28
"атмосфер",28
"ціл",28
"владисл",28
"завідувачк",28
"період",28
"філософі",28
"люд",28
"постійн",28
"олександрівн",28
"переваг",28
"академі",28
"психологі",28
"var",28
"науковопрактичн",28
"василівн",28
"хвил",28
"соменк",28
"курсов",28
"мікроконтролер",28
"охорон",28
"абітурієнт",28
"навчальновиховн",28
"компані",27
"одяг",27
"запропонув",27
"опп",27
"громадськ",27
"інформаці",27
"решетнік",27
"доповідач",27
"думк",27
"skills",27
"представил",27
"профорієнтаційн",27
"віталіївн",27
"відповідальн",26
"двсоменк",26
"спрямован",26
"бакалаврськ",26
"доброчесніст",26
"професорк",26
"способ",26
"впровадженн",26
"глядач",26
"привіт",26
"михайл",26
"досягненн",26
"ознайомленн",26
"модельн",26
"якісн",26
"гуртк",26
"штучн",26
"презентован",26
"школяр",26
"учнівськ",26
"кваліфікаційн",26
"магістратур",26
"фронт",26
"регіональн",25
"оп",25
"розгляд",25
"ознайомит",25
"змішан",25
"жвав",25
"робоч",25
"виконан",25
"свят",25
"євген",25
"лекці",25
"наголос",25
"потреб",25
"інтелект",25
"структур",25
"отриманн",25
"реальн",25
"шкіл",25
"приємн",25
"проректор",25
"воєнн",25
"російськ",25
"створен",25
"ііі",25
"пробл",25
"ріжняк",25
"інтеграці",25
"важливіст",24
"виконув",24
"вплив",24
"справ",24
"пройшл",24
"батьк",24
"подяк",24
"stemосвіт",24
"регіон",24
"останн",24
"головн",24
"обладнанн",24
"служб",24
"вмінн",24
"післядипломн",24
"широк",24
"анн",24
"проводил",24
"нагод",24
"використовув",24
"складн",24
"астрономі",24
"вітаєм",24
"ренат",24
"інтерактивн",24
"викладанн",23
"мереж",23
"розвязанн",23
"самоврядуванн",23
"обговорил",23
"окрем",23
"провод",23
"куратор",23
"фурсик",23
"географічн",23
"повязан",23
