"Term","Score"
"жінк",66.2634321906433
"дівчат",58.4677342858617
"проєкт",52.8471908593912
"жінок",38.6344106578492
"молод",34.0949618447685
"війн",33.4468991569862
"міст",29.883508634996
"насильств",29.883508634996
"українськ",29.3364264386759
"олен",28.7747432735804
"потерпіл",28.7747432735804
"сексуальн",27.2759694758148
"суд",27.2759694758148
"феміністичн",26.3768480007821
"уряд",25.5712213835764
"чоловік",24.686376698475
"військов",24.2784218802835
"сил",24.2784218802835
"ворог",23.9789527279837
"жіноч",23.866473291338
"ірин",23.866473291338
"навчанн",23.866473291338
"курс",23.3870937143447
"військ",22.2552200569266
"справ",22.2552200569266
"ліце",22.1617251990995
"злочин",21.5810574551853
"рот",21.5810574551853
"прац",20.4569771068611
"учасниц",20.4569771068611
"зробит",19.4892447619539
"stem",19.183162182387
"вирок",19.183162182387
"каж",19.183162182387
"неповнолітн",19.183162182387
"прокуратур",19.183162182387
"тематик",19.183162182387
"квот",18.7522290146227
"нов",18.2088164102126
"прогр",18.1899617778237
"відновленн",17.1972154985342
"арм",17.0474809223843
"робот",16.8906787936934
"fem",16.7852669095886
"культур",16.7852669095886
"нат",16.7852669095886
"оплат",16.7852669095886
"швеці",16.7852669095886
"діт",16.1856145868557
"рішенн",16.1856145868557
