"Term","Score"
"жінок",720.083181517142
"жінк",715.172346375224
"насильств",607.364290135771
"чоловік",531.840179965945
"україн",478.500073292359
"військов",422.108157146109
"прав",410.402492358696
"російськ",393.796809307076
"українськ",392.224237757664
"робот",385.902230353886
"вибор",381.612353673063
"війн",380.201194303145
"політичн",372.132745232198
"діт",372.044545099378
"європейськ",370.520085785988
"питанн",364.072533396373
"країн",361.999563252275
"політик",359.97333792531
"парламент",355.683570966448
"люд",349.502269676252
"президент",340.464551426105
"закон",329.3945919608
"дитин",323.986524125303
"домашн",321.642910537043
"посад",319.4230669567
"суд",319.355230611164
"крим",317.336532363169
"міст",315.382944145708
"суспільств",315.272863697532
"влад",313.805502711137
"людин",311.140440137651
"представник",310.436629833559
"місц",300.032762016383
"справ",298.442937082001
"марш",298.104022559328
"росі",296.626168049486
"сексуальн",293.872450351164
"сил",290.685758614246
"трамп",286.771736984638
"злочин",285.462695352485
"уряд",283.091557666034
"велик",282.721392150614
"нат",280.645124572136
"рівн",280.374006503761
"проблем",279.629941376794
"конвенці",279.296697118489
"дівчат",278.877794099727
"нов",278.190250711582
"соціальн",278.041086573589
"парті",275.851383398115
