"Term","Score"
"конвенц",24.1694703506984
"нат",24.1694703506984
"фріланд",19.775021196026
"військов",18.6764089073579
"стамбульськ",17.8404647567592
"конвенці",15.3805720413535
"саудівськ",13.1833474640173
"рад",11.3530230270286
"cbc",10.9861228866811
"news",10.9861228866811
"генсек",10.9861228866811
"європ",10.9861228866811
"нагород",10.9861228866811
"олен",10.9861228866811
"документ",9.73116259459595
"зеленськ",9.73116259459595
"насильств",9.32569748648778
"наказ",9.02446438065765
"облік",9.02446438065765
"ратифікув",9.02446438065764
"сша",9.02446438065764
"femen",8.78889830934488
"араві",8.78889830934488
"домашн",8.78889830934488
"канад",8.78889830934488
"ратифікац",8.78889830934488
"спеціальност",8.78889830934488
"президент",8.10930216216329
"українськ",8.10930216216329
"міжнародн",7.69028602067677
"робот",7.69028602067677
"віцепрем’єрк",7.52038698388137
"жіноч",7.52038698388137
"застереженн",7.52038698388137
"отримал",7.52038698388137
"стефанішин",7.52038698388137
"безпек",7.52038698388137
"відповідн",7.52038698388137
"ратифікаці",7.52038698388137
"верховн",7.29837194594696
"форм",7.05343997882543
"жінок",7.03680399186537
"awards",6.59167373200866
"clinton",6.59167373200866
"hillary",6.59167373200866
"renfe",6.59167373200866
"rodham",6.59167373200866
"the",6.59167373200866
"активістк",6.59167373200866
"білизн",6.59167373200866
