"Term","Score"
"облік",326.148360070642
"військов",316.16121638065
"насильств",271.322888448652
"талашк",221.415142219057
"чит",189.798640276287
"аборт",188.760391138852
"марш",164.934045744987
"гендерн",161.728962713337
"чоловік",161.159953719073
"домашн",155.360914526997
"березн",153.787886517548
"країн",153.055485666632
"ден",152.817652742662
"служб",143.056601601472
"жінк",142.503416692662
"жіноч",140.384767889103
"суспільн",137.625170028414
"університет",137.243141750869
"жінок",136.126756030313
"посад",134.91362250726
"оборон",134.316474204886
"міжнародн",134.303661260897
"робот",134.269651724892
"діт",131.763737104763
"батьк",131.00481712583
"арестович",130.037464477859
"новин",129.469461397548
"прав",128.839681843414
"уряд",128.537637774169
"груп",127.683561898472
"прац",127.683561898472
"освіт",125.489273433108
"школ",125.273595098869
"сексуальн",124.776048316719
"слов",124.552785476919
"українськ",122.304911418537
"закон",120.265244975555
"міністерств",117.674550716816
"україн",116.511239342971
"підбор",115.867758166784
"перш",115.854345434727
"режисер",115.201236769926
"стамбульськ",115.155657987377
"стат",114.92003619735
"конвенц",114.494885677405
"міс",114.409937892526
"афганістан",114.142836680615
"міноборон",113.335300012315
"рівн",113.014065833734
"мают",112.795364096349
