"title","negative","positive","sentiment_score"
"Міноборони: 68 тисяч жінок служать у лавах ЗСУ, з них 5 тисяч у зоні бойових дій",0,1,1
"Темники, меми, «реєстр фейків та допреальності». Як працює агенція-підрядник Кремля із дезінформації",10,19,9
"Брудна річка, булінг боксерки та «богохульське» відкриття: скандали Олімпіади",10,6,-4
"«Права людини завжди на часі» – у Києві відбувся Марш рівності на підтримку ЛГБТК+",0,1,1
"Що змінять вибори в Європейський парламент для України?",14,7,-7
"Захист прав ЛГБТК+ не на часі? Як змінився квір-активізм після початку великої війни РФ проти України",14,0,-14
"В Україні з’явиться військовий омбудсмен – Міноборони",4,1,-3
"«Я українка і я не працюю в борделі»: як українські біженки відреагували на образливий жарт шведської телеведучої",17,0,-17
"Владна партія Грузії заявила про намір обмежити права ЛГБТ",1,0,-1
"Жінки на війні: як долати «скляну стелю»",3,4,1
"Греція легалізувала одностатеві шлюби",2,0,-2
"Комісія з журналістської етики відреагувала на скаргу щодо жартів «Кварталу 95» про переселенців",4,0,-4
"Жінки в армії, політиці і владі: як змінилася гендерна ситуація в Україні",15,8,-7
"Рекрутинг замість призову: затверджено Концепцію військової кадрової політики Міноборони",1,0,-1
"У Мексиці зняли федеральну заборону на аборти",6,0,-6
"«Покоління війни»: Ігор Гордійчук про нову генерацію ЗСУ, мотивацію ліцеїстів-богунівців та сучасних героїв",20,19,-1
"Уряд Швеції ухвалив нову стратегію співпраці з Україною. Зеленський подякував за «справжню солідарність»",0,4,4
"У Дніпрі попри війну змогли організувати традиційну акцію «Ніч музеїв»",0,3,3
"Урбаністика і гендерна (не) рівність: як відбудовувати інклюзивно",6,7,1
"Зеленський привітав першу велику інвестицію в Україну з початку повномасштабного вторгнення РФ",2,8,6
"«Без захисту»: зґвалтування неповнолітньої, умовний термін, реакція правозахисників та перегляд справи",24,2,-22
"Голови МЗС Росії й Китаю не підтримали пункти про війну і ядерну зброю в декларації G20",3,0,-3
"Не хочуть бути жертвами: як війна змінює українських жінок і ставлення до них в Україні та світі",11,5,-6
"Стамбульська конвенція – не панацея проти домашнього насильства. Досвід Італії",13,6,-7
"Київ і представники понад 40 країн підписали в Лугано декларацію про відновлення України",4,2,-2
"Зеленський вніс у Раду законопроєкт про ратифікацію Стамбульської конвенції",0,2,2
"Територіальна оборона Приазов’я. Кому даватимуть зброю?",5,5,0
"«В разі мобілізації я знаю куди йти і що робити»: чотири історії українок, які мають військові квитки",11,4,-7
"Жінкам вже завтра до військкомату бігти не треба – головнокомандувач ЗСУ про наказ Міноборони",2,0,-2
"Зеленський назвав Україну «лідером демократичних перетворень»",6,5,-1
"ООН: в Україні за два роки зафіксували майже 30 інцидентів щодо журналістів та близько 20 – проти правозахисників",7,5,-2
"В ОП кажуть, що готують законопроєкт про приєднання України до Стамбульської конвенції",4,1,-3
"У день боротьби з насильством щодо жінок Україну закликали ратифікувати Стамбульську конвенцію",2,0,-2
"«Права жінок є важливими для інтеграції в НАТО»: Левченко про заяву Арахамії щодо жінки-міністра оборони",5,3,-2
"«Розумна політика»: амбіції та перспективи Дмитра Разумкова",10,9,-1
"Такі, як Оксана Линів, ламають схеми – директор Болонського театру",5,7,2
"Зварювальниця, сепараторниця та водійка великовантажної машини: історії вибору (не)жіночих професій",7,6,-1
"MediaForShe Congress: «Медіа можуть більше для гендерної рівності»",1,2,1
"Війна і жінки: трагічні наслідки для репродуктивного здоров’я",8,2,-6
"У Києві відбулася акція солідарності з жінками Афганістану",4,0,-4
