"date_published","link","title","text"
"2024-11-02","https://suspilne.media/871605-v-irani-zaarestuvali-studentku-aka-rozdaglasa-na-teritorii-universitetu-na-znak-protestu/","В Ірані затримали студентку, яка роздяглася на території університету на знак протесту","В Ірані затримали жінку, б вона роздягнулася до спідньої білизна на території університету, ймовірно, на знак протесту проти жорстокого примусу до носіння хіджабу. Про це повідомляє Euronews з посиланням на Amnesty Iran. ""Влада Ірану повинна негайно і безумовно звільнити студентку університету, яку насильно заарештували 2 листопада після того, як вона зняла одяг на знак протесту проти жорстокого примусу до носіння хіджабу з боку охоронців в Ісламському університеті Азад у Тегерані"", — йдеться у повідомленні Amnesty Iran. Зазначається, що студентка роздягнулася після того, як охоронці університету принижували її через неправильне носіння хіджабу. Відео події, яке студенти зняли з вікон університетської аудиторії, швидко поширилося в соціальних мережах, викликавши значний резонанс. Багато користувачів висловили підтримку жінці, називаючи її вчинок сміливим і відважним. Інформації про особу затриманої наразі не оприлюднено. Керівник відділу зв’язків із громадськістю Ісламського університету Азад у Тегерані Сейед Амір Махджуб повідомив, що охоронці передали студентку поліції, заперечуючи факт фізичного приниження. За його словами, первинні розслідування показали, що жінка нібито страждає на психологічний розлад і перебувала в стані сильного стресу. Amnesty Iran у своєму пості на X закликала до негайного та безумовного звільнення затриманої, вимагаючи захисту від тортур та інших видів жорстокого поводження. Організація також висловила вимогу про надання їй доступу до сім'ї та адвоката. ""Звинувачення у побитті та сексуальному насильстві під час арешту мають бути незалежно й неупереджено розслідувані, а всі причетні повинні нести відповідальність"", — зазначили представники Amnesty. Раніше місцеві джерела повідомляли, що жінка була затримана агентами спецслужб і переведена в невідоме місце. За інформацією, яку опублікувала газета, пов’язана з університетом, її згодом направили до психіатричної лікарні. Читати ще Читати ще Афганські жінки провели акцію протесту проти Талібану"
"2024-10-28","https://suspilne.media/867387-papa-rimskij-francisk-ne-dozvoliv-zinkam-prijmati-san-diakona/","Папа Римський Франциск не дозволив жінкам приймати сан диякона","Синод єпископів Католицької церкви під керівництвом Папи Римського Франциска, що завершився у Ватикані, не ухвалив рішень щодо рівності. Зокрема, не було затверджено позицію з питань прийняття жінками сану диякона, участі одружених священників у служіннях та підтримки ЛГБТК+ спільноти. Про це повідомляють The Washington Post та ABC News. Зазначається, що у підсумковому документі Синоду, що відбувся 26 жовтня, йдеться про те, що ""питання доступу жінок до дияконського служіння залишається відкритим"". Диякони – це посада, яка передбачає багато функцій, схожих на ті, що мають священники, як-от проведення хрещення, вінчання та поховання. Водночас у Католицькій церкві вони не мають достатньо повноважень для того, аби служити меси. Як заявив кардинал Віктор Фернандес, Папа Римський Франциск виступає проти можливості для жінок бути дияконами, натомість він ""відкритий для додаткового вивчення цього питання"". Для вивчення питання створена спеціальна комісія, вона розглядає можливість розширення прав жінок у католицькій церкві. Але, за словами Фернандеса, члени комісії розглядатимуть лише те, як розширити владу жінок поза посадами служителів церкви. Для можливості висвячення їх у диякони “не настав момент”, вважає він. Пояснює це тим, що більшість жінок у католицькій церкві ""не просили й не бажали дияконату, який був би обтяжливим для їхньої мирянської праці"". Також Фернандес зауважив, що комісія розглядатиме лише те, як розширити владу жінок поза посадами служителів церкви. На його думку, для можливості висвячення їх у диякони ""не настав момент"". Наразі жінки не можуть отримувати вищі посади, але виконують значну частину роботи з управління католицькими лікарнями та школами. Водночас виконавча директорка Конференції жіночої ординації Кейт Макелві впевнена, що жінки у всьому світі відреагують на остаточні рекомендації ""з великим розчаруванням"". Вона визнала, що в Католицькій церкві відбувся певний “культурний зсув”, однак його швидкість надто повільна. Крім цього, в остаточні документи, ухвалені за результатом засідання Синоду, також не включили питання щодо ЛГБТК+ спільноти та служби одружених священників. Наразі в Католицькій церкві всі духовні посади обіймають лише чоловіки. Хоча понтифік створив дві комісії для вивчення питання про можливість жінкам стати дияконами, помітного прогресу в цьому напрямі поки що немає. Восени 2023 року Папа Римський Франциск заявляв, що не заперечує щодо того, щоб Католицька церква благословляла одностатеві пари. Читати ще Читати ще Папа Римський закликав католиків США голосувати ""за менше зло"" Читати ще Папа Римський перепросив за сленгове слово стосовно геїв"
"2024-10-07","https://suspilne.media/852625-minoboroni-vprovadzue-standarti-nato-sodo-gendernoi-rivnosti-u-zsu/","Міноборони впроваджує стандарти НАТО щодо гендерної рівності у ЗСУ","Міноборони планує провести гендерний аналіз та виявити інституційні перешкоди для впровадження програм рівності у лавах Збройних сил України. Про це повідомляє пресслужба українського оборонного відомства за результатами відвідування українською делегацією освітньої програми ""Змінотворці"". Зазначається, що у межах цієї ініціативи представники Міноборони взяли участь у міжнародному заході в Брюсселі, де обговорювалися питання інтеграції жінок у військову сферу. Серед учасників були представники Збройних сил Канади, Північного центру з гендерних питань у військових операціях (Швеція), відомств у сфері оборони Євросоюзу, а також провідних міжнародних організацій у сфері забезпечення рівних прав і можливостей чоловіків і жінок. За словами керівниці управління гуманітарного забезпечення Міноборони Діани Копаниці, програма ""Змінотворці"" надала ""унікальну можливість"" для обміну досвідом з партнерами НАТО. ""Ми не лише перейняли передові практики, але й поділилися власними напрацюваннями в умовах війни. Це допоможе нам ефективніше впроваджувати стандарти Альянсу, оптимально використовуючи потенціал як жінок, так і чоловіків у різних сферах оборони"", — сказала посадовиця. У Міноборони давали, що після повернення до Києва учасники заходу презентують отримані знання своєму оперативному керівництву. Зокрема, планується провести гендерний аналіз та виявити інституційні перешкоди для впровадження програм рівності. ""Змінотворці"" є спільною ініціативою Міноборони України та проєкту PROTECT2, який фінансується Міністерством національної оборони Канади та виконується Alinea International. Його мета — підтримка українського уряду у розбудові потенціалу інституцій та відомств оборонного сектору. За даними Міноборони станом на 1 квітня 2024 року в лавах ЗСУ перебувало 67 285 жінок, з яких 47 569 — військовослужбовиці, а понад 5 тисяч жінок перебували на лінії зіткнення. Читати ще Читати ще Трюдо офіційно підтвердив, що вперше в історії Канади Збройні Сили очолить жінка Читати ще США виділили українським бійчиням $7 млн на спорядження"
"2024-10-02","https://suspilne.media/848863-nastav-cas-dla-zinok-persa-zinka-prezidentka-meksiki-klaudia-sejnbaum-sklala-prisagu/","""Настав час для жінок"". Перша жінка-президентка Мексики Клаудія Шейнбаум склала присягу","У Мексиці у вівторок, 1 жовтня, склала присягу перша жінка-президентка країни, колишня мер Мехіко Клаудія Шейнбаум. Від України участь в інавгурації взяв голова Верховної ради Руслан Стефанчук. Про інавгурацію повідомляє Reuters. Шейнбаум пообіцяла захищати права жінок і гарантувати, що економіка Мексики залишатиметься безпечним місцем для міжнародних інвестицій. “Настав час трансформації, настав час для жінок. Я мама, бабуся, науковець і віруюча жінка, а відсьогодні, з волі мексиканського народу, президент”, — сказала Шейнбаум на церемонії в Конгресі Мексики. Як відзначає Reuters, Шейнбаум також використала свою першу промову на посаді глави держави, щоб відповісти на занепокоєння інвесторів після ухвалення масштабної судової реформи, яку просував її попередник Андрес Мануель Лопес Обрадор. Вона повторила, що центральний банк буде автономним, і сказала інвесторам: “Будьте впевнені, що інвестиції національних та іноземних акціонерів будуть у безпеці в нашій країні”. Шейнбаум також пообіцяла, що мексиканський нафтовий гігант — державна нафтова компанія Pemex — намагатиметься підтримувати щоденний видобуток нафти на рівні 1,8 мільйона барелів відповідно до поточного видобутку. Зазначається, що уряд Шейнбаум планує представити свій перший бюджет до 15 листопада. У післяобідній промові на історичній площі Зокало у столиці Шейнбаум дала 100 обіцянок — від розширення системи охорони здоров'я та освіти до будівництва 1 мільйона нових будинків, обмеження цін на ключові товари та направлення до Конгресу пакету реформ для боротьби з гендерним насильством та дискримінацією. Шейнбаум заявила, що оприлюднить цей пакет у четвер, і сказала, що він включатиме запропоновані зміни до Конституції, спрямовані на зменшення безкарності та захист жінок у країні, яка має один з найвищих у світі рівнів вбивств жінок. “Нашим орієнтиром є щастя і добробут людей, — сказала вона. — Я обіцяю вам продовжувати творити історію”. Як пише Reuters, попередній президент Мексики Лопес Обрадор, чий шестирічний термін повноважень почався наприкінці 2018 року, зумів подвоїти мінімальну заробітну плату в Мексиці, зменшити рівень бідності та безробіття, розширити базу соціальних програм і проконтролювати попереднє зміцнення песо. Ці успіхи підвищили його популярність і допомогли його протеже Шейнбаум здобути переконливу перемогу на червневих виборах, оскільки мексиканські президенти можуть перебувати на посаді лише один шестирічний термін. Однак Шейнбаум, яка пообіцяла “спадкоємність змін”, також успадкувала найбільший бюджетний дефіцит з 1980-х років і відставання в економічному зростанні. Експерти кажуть, що економіка Мексики потребуватиме податкової реформи для збільшення доходів, хоча Шейнбаум поки що виключила можливість радикального перегляду податкової системи. Замість цього вона заявила, що розглядатиме інші варіанти, в тому числі підвищення ефективності збору податків на митниці. Від України участь в інавгурації взяв голова Верховної ради Руслан Стефанчук “Взяв участь в інавгурації президентки Мексики Клаудії Шейнбаум. Під час розмови з новообраною главою мексиканської держави підкреслив, що присутність України на інавгурації є переконливим свідченням поваги до Мексики та вибору мексиканського народу”, — написав Стефанчук у Фейсбуці. Він додав, що підтвердив готовність України до активного розвитку українсько-мексиканського міждержавного діалогу та поглиблення співробітництва. Також сікер висловив переконання, що за президентства Клаудії Шейнбаум Мексика зробить відчутний внесок у досягнення в Україні справедливого і тривалого миру, який базуватиметься на основі поваги до Статуту ООН і міжнародного права. “Під час розмови відзначив натхнення, з яким пані президентка говорила про майбутнє мексиканських дітей у своїй інавгураційній промові. Сказав їй, що дуже хочеться, щоби завдяки спільним зусиллям наших країн агресор перестав вбивати українських дітей та викрадати їх, позбавляючи майбутнього”, — розповів Стефанчук. Він також закликав Мексику активно долучитися до реалізації Української Формули миру і запросив взяти участь у другому Саміті миру. У Мексиці на початку червня пройшли президентські вибори, і перемогу здобула кандидатка від керівної коаліції Клаудія Шейнбаум. Читати ще Читати ще Мексика запросила Путіна на інавгурацію нової президентки Читати ще Путін вирішив не їхати на інавгурацію президентки Мексики Раніше стало відомо, що команда новообраної президентки Мексики Клаудії Шейнбаум в координації з міністром закордонних справ Хуаном Рамоном де ла Фуенте почала розсилати запрошення президентам різних країн на інавгурацію Шейнбаум 1 жовтня. Одне з офіційних запрошень надійшло Володимиру Путіну. Українське посольство в Мексиці наголосило, що Путін є воєнним злочинцем, підозрюваним у викраденні українських дітей і депортації їх до Росії. Міністерство закордонних справ Мексики пізніше повідомило Reuters, що уряд надіслав запрошення всім країнам, з якими має міжнародні відносини, а також міжнародним організаціям, членом яких є Мексика. Згодом стало відомо, що Путін вирішив не їхати на інавгурацію президентки Мексики. МКС видав ордер на арешт Путіна минулого року, звинувачуючи його у воєнних злочинах, пов'язаних з незаконною депортацією сотень українських дітей до Росії після вторгнення РФ в Україну на початку 2022 року. Хоча Росія не є членом МКС, Мексика є учасницею цього суду. Читати ще Читати ще У Мексиці на виборах президента перемагає Клаудія Шейнбаум — попередні дані"
"2024-10-01","https://suspilne.media/848429-ak-rozpodilatimut-ucniv-na-predmeti-zahist-ukraini-mon-uhvalilo-zmini/","Як розподілятимуть учнів на предметі ""Захист України"" — МОН ухвалило зміни","Міністерство освіти і науки (МОН) України змінило порядок, як ділити класи на групи під час вивчення ""Захисту України"". Школярів 10-11 класів ділитимуть за кількістю, а не за гендером. Про це йдеться в повідомленні МОН та в наказі №1276 міністерства. Відповідно до нових правил, учнів і учениць 10-11 класів на уроках із ""Захисту України"" розподілятимуть у групи за кількістю — від 8 до 15 у кожній групі. Верховна рада України ухвалила закон № 3724-IX, який скасував гендерний розподіл для цієї дисципліни. ""Ці зміни дадуть змогу вчителям більше зосередитися на практичному навчанні в менших групах, а учням — незалежно від статі опанувати базові навички для життя, самозахисту та формування оборонної свідомості"", — аргументують у МОН. Відомство зазначило, що хоча нова навчальна програма ""Захисту України"" ще впроваджується — протягом 2024-2026 років, — проте заклади освіти, які ще викладають за старою програмою, теж мають відійти від гендерного поділу груп. Що відомо про оновлення дисципліни ""Захист України"" Наразі влада комплексно оновлює підхід до викладання ""Захисту України"" в 10–11 класах, раніше це були ""Захист Вітчизни"" та ""Допризовна підготовка"". У квітні 2024 року народна депутатка Інна Совсун розповіла в ефірі Радіо Культура, що в старій програмі існували два так званих навчальних плани – для хлопчиків і для дівчаток, де всі дівчата вчили медицину, а хлопчики маршували на шкільному майданчику. Натомість нова програма буде спільною для всіх, опановувати її будуть разом і незалежно від статі. Оновлена програма складається з 10 модулів і спрямована на розвиток практичних умінь. У її складі такі теми: домедична допомога; навички управління дронами; тактична медицина; радіозв’язок; сучасні технології, що відповідають реаліям воєнного часу. ""Програма також допоможе учням розвинути емоційну стійкість і вміння діяти в екстремальних ситуаціях"", — анонсували в Міносвіти. Кабінет міністрів у липні виділив 1,65 млрд гривень на закупівлю сучасного обладнання для оновленого шкільного курсу ""Захист України"". Ще 100 млн спрямовано на професійний розвиток вчителів. 13 серпня Міносвіти затвердило оновлену модельну навчальну програму ""Захисту України"". Читати ще Читати ще Як зміниться старша школа — роз'яснення Міносвіти Читати ще Проти 12-річної освіти в школі виступають 25% батьків, за лише 11% — КМІС"
"2024-09-02","https://suspilne.media/827259-v-ukraini-startuvav-pilotnij-proekt-z-pidgotovki-vodijok-vantazivok/","В Україні стартував пілотний проєкт з підготовки водійок вантажівок","2 вересня у чотирьох містах України розпочався пілотний проєкт з підготовки водійок вантажівок. Учасниці проєкту матимуть можливість безоплатно навчитися водінню вантажівки та працевлаштуватись. Про це повідомило Міністерство розвитку громад, територій та інфраструктури України. Зазначається, що метою проєкту є розширення професійного потенціалу жінок у сфері перевезень, зокрема залучення жінок до водіїв-далекобійників, через дефіцит кадрів. Проєкт передбачає навчання 100 жінок, після завершення курсу водійки отримають кваліфікацію та посвідчення категорії ""С"" або ""СЕ"". Також запланується працевлаштування 80 випускниць у компаніях, які долучаються до проєкту. Наразі щонайменше 10 компаній перевізників готові підтримати ініціативу та надати робочі місця для нових водійок вантажівок. ""Через повномасштабне вторгнення дефіцит водіїв вантажного транспорту на приватних підприємствах сягає близько 30%. Разом з тим, це одна з надзвичайно важливих професій як для доставки стратегічно важливих вантажів, так і для роботи економіки в цілому, адже логістика орієнтується саме на автомобільний транспорт"", — заявив заступник міністра розвитку громад, територій та інфраструктури Сергій Деркач. Наразі проєкт охоплює 4 міста: Київ, Тернопіль, Рівне та Хмельницький. Для участі у відборі потрібно до 26 вересня 2024 року заповнити анкету та пройти співбесіду. Читати ще Читати ще Жінки-водійки автобусів: в Україні запускають пілотний проєкт з навчання Читати ще Відкриття міжнародних автобусних маршрутів з Чехією спростили — Мінінфраструктури"
"2024-08-21","https://suspilne.media/818497-u-meksici-stvorat-perse-ministerstvo-u-spravah-zinok/","У Мексиці створять перше міністерство у справах жінок","У понеділок, 20 серпня, новообрана президентка Мексики Клаудія Шейнбаум оголосила про створення міністерства у справах жінок. Воно замінить Національний інститут жінок, який був створений у 2001 році. Про це повідомляє Mexico News Daily. ""Після глибокого аналізу думок колег і керівника інституту я прийняла рішення зробити Інститут жінок міністерством. Ми хочемо, щоб права жінок охопили кожен куточок країни"", — сказала Шейнбаум. Президентка також представила очільницю нового міністерства, нею стане 34-річна федеральна сенаторка та генеральна секретарка правлячої партії Морена, Сітлаллі Ернандес Мора. Сітлаллі Ернандес Мора зазначила, що створення першого в Мексиці міністерства у справах жінок допоможе встановити гендерну справедливість в країні, щоб дівчата та жінки мали більшу рівність і не були дискриміновані. Ернандес пообіцяла, що не залишить жодну жінку беззахисною. Серед тих, кому вона конкретно пообіцяла допомогти, були жінки, які працюють у сільському господарстві та на заводах у північній Мексиці. Вона додала, що очолюване нею міністерство розповсюджуватиме брошури про права жінок по всій Мексиці та працюватиме над боротьбою з гендерним насильством. Видання зазначає, що водночас уряд Шейнбаум зіткнеться з низкою проблем, пов'язаних з проблемами жінок, оскільки гендерне насильство — серйозна проблема в Мексиці. У 2023 році майже 3600 мексиканських жінок було вбито. Крім цього, в країні існує проблема з гендерним розривом в оплаті праці, на сьогодні він становить близько 15%. Читати ще Читати ще У Мексиці на виборах президента перемагає Клаудія Шейнбаум — попередні дані"
"2024-08-10","https://suspilne.media/810415-alzirska-bokserka-iman-helif-vigrala-olimpijske-zoloto-popri-genderni-superecki/","Алжирська боксерка Іман Хеліф виграла олімпійське ""золото"" попри гендерні суперечки","Алжирська боксерка Іман Хеліф, яка опинилася в центрі гендерних суперечок на Олімпійських іграх у Парижі, завоювала золоту медаль, ставши олімпійською чемпіонкою. Про це пише Sky News. Хеліф впевнено перемогла китаянку Ян Лю у фіналі змагань у жіночій напівсередній вазі, отримавши одностайне рішення суддів. Вона виграла всі три раунди за суддівськими записками, а після оголошення рішення обійняла свого тренера, який підняв 25-річну спортсменку на плечі та проніс по арені. ""Цілих вісім років я мріяла про це, і тепер я олімпійська чемпіонка та володарка золотої медалі"", — сказала Хеліф через перекладача. Коли її запитали про суперечки, вона відповіла журналістам: ""Це лише надає моїй перемозі особливого смаку через ті нападки, які на мене здійснювали"". ""Я повністю кваліфікована для участі в цих змаганнях. Я жінка, як і будь-яка інша жінка. Я народилася жінкою, живу як жінка і маю відповідні кваліфікації"", — додала вона. Хеліф була під пильною увагою після того, як її попередня суперниця відмовилася від бою через 46 секунд, стверджуючи, що це було для захисту її здоров'я через надто сильні удари алжирки. Деякі критики вважали, що Хеліф не повинна була брати участь у змаганнях через можливий підвищений рівень тестостерону, що може спричиняти додаткову силу та м'язову масу, потенційно створюючи небезпеку для суперниць. Читати ще Читати ще Міжнародний олімпійський комітет звинуватив Росію у гендерному скандалі на Олімпіаді-2024 — WSJ Раніше Хеліф та тайванську боксерку було відсторонено від участі в чемпіонаті світу минулого року, коли Міжнародна боксерська асоціація (IBA) заявила, що вони не пройшли тести на гендерну відповідність. Однак Міжнародний олімпійський комітет (МОК) назвав це рішення ""раптовим і довільним"" та заявив, що тести були вкрай недосконалими. МОК також відсторонив IBA через проблеми з управлінням та ймовірну корупцію та зв'язки з Росією. Представник МОК Марк Адамс зазначив, що всі боксери на Олімпійських іграх у Парижі відповідають критеріям відповідності, зокрема за гендером та віком, ""на основі їхнього паспорта"". Він також зазначив, що Хеліф та тайванська спортсменка Лін Ю-тінг вже багато років змагаються у жіночих категоріях, а алжирка також брала участь в Олімпіаді в Токіо. Дебати щодо Хеліф та інших спортсменів поновили дискусію щодо атлетів, які можуть мати різниці у статевому розвитку (DSD), коли гени, гормони та репродуктивні органи розвиваються інакше, ніж очікувалося. Чи мають Хеліф та Ю-тінг такі особливості, наразі невідомо. Читати ще Читати ще Медальний залік після 14-го дня Олімпіади-2024: на якому місці Україна Спортивна кар'єра Іман Хеліф До 2023 року Хеліф брала участь у трьох чемпіонатах світу й у 2022-му виграла першу медаль — ""срібло"". Для Хеліф бій проти Анджели Каріні на Олімпіаді-2024 був лише пʼятим у карʼєрі, що завершився достроково. За статистикою BoxRec, алжирка провела 46 поєдинків і виграла 37 із них. На думку МОК, Халіф і Лінь стали ""жертвами раптового й свавільного рішення IBA"" на чемпіонаті світу-2023, що було ухвалене ""без належної процедури"", та наголосив, що національні федерації мають домовитися про створення нової міжнародної федерації, аби бокс залишився в олімпійській програмі. Сам комітет змінювати правила посеред змагань без серйозних і науково обґрунтованих підстав не планує. Читати ще Читати ще ""Це неприпустимо"". Асоціація боксу Угорщини висловила офіційний протест через участь Іман Хеліф у Олімпіаді-2024"
"2024-08-07","https://suspilne.media/807887-urad-velsu-vperse-ocolila-zinka/","Уряд Вельсу вперше очолила жінка","У Сполученому Королівстві уряд Вельсу вперше в історії очолила жінка — Елунед Морган затверджена на посаді першого міністра Вельсу. Про це повідомляє ВВС. Зазначається, що Елунед Морган затвердили на посаді першого міністра Уельсу після голосування у валлійському парламенті Сенедді. Парламент відкликали з літніх канікул, щоб висунути її кандидатуру, після того як попередній глава уряду Вон Гітінг подав у відставку. Члени Сенедду мали змогу взяти участь у голосуванні віртуально, в тому числі з-за кордону. “Це найбільша честь у моєму житті — стояти сьогодні перед вами як перша жінка, яка стала першим міністром Уельсу”, — заявила Морган. Морган сказала, що вона з нетерпінням чекає того дня, коли “жінка, яка стане першим міністром, більше не буде надзвичайною, а нормальною частиною нашого політичного життя Уельсу”. Морган стала лідером валлійських лейбористів минулого місяця, з травня 2021 року вона обіймала посаду міністра охорони здоров'я, соціальної допомоги та валлійської мови. Кандидатура Морган була направлена королю, який дав своє схвалення, що дозволило новому першому міністру офіційно вступити на посаду, пише ВВС. Морган стала шостим першим міністром Уельсу. Морган подякувала Гітінгу за його службу, назвавши його “справжнім першопрохідцем” на “шляху до децентралізації” Уельсу. Гітінг був першим чорношкірим першим міністром Уельсу, нагадує ВВС. Раніше перший міністр Вельсу Воган Гітінг оголосив про свою відставку через чотири місяці після вступу на посаду. Це сталося після відставки трьох міністрів Вельсу і його головного юридичного радника, які також закликали Гітінга піти з посади. Як відзначає ВВС, Гітінг був втягнутий у суперечки з того часу, як він прийшов на посаду в березні, через питання щодо пожертви на кампанію у розмірі 200 000 фунтів стерлінгів від бізнесмена, засудженого за екологічні злочини. У своїй заяві про відставку Гітінг заперечив свою провину. Читати ще Читати ще Очільник МЗС Великої Британії обмірковує поїздку до Китаю у межах ""аудиту"" відносин — Bloomberg"
"2024-08-02","https://suspilne.media/805119-kozen-drugij-fop-u-2023-roci-stvorili-zinki-minekonomiki/","Кожен другий ФОП у 2023 році створили жінки — Мінекономіки","У 2023 році кожен другий ФОП був створений жінкою. Крім того, жінки очолювали кожну третю компанію, повідомила перша віцепрем’єр-міністерка - міністерка економіки України Юлія Свириденко. Відповідні дані Свириденко оприлюднила під час підведення підсумків подачі заявок на грантову програму “Створюй! для жінок-підприємиць, інформує пресслужба Мінекономіки. За словами Свириденко, під час війни жінки все частіше беруть на себе лідерство. “Торік кожен другий ФОП в Україні відкривала жінка. Кожну третю компанію очолювала теж жінка. Але при цьому гендерний розрив досі є щоденною реальністю багатьох українок. Наприклад, дослідження показують, що жінки частіше відкривають малі і мікробізнеси, а у розрізі середніх і великих підприємствах переважають все ж чоловіки-керівники чи власники"", — розповіла посадовиця. За словами міністерки, грантова програма “Створюй!” є важливим елементом урядової політики “Зроблено в Україні”, а також державної стратегії з подолання гендерного розриву в оплаті праці. Проєкт має бюджет у мільйон доларів і націлений на масштабування та розвиток малого і середнього бізнесу українок у сфері виробництва та переробки. Грантові кошти (максимальна сума — 15 тисяч доларів) переможниці програми зможуть витратити на придбання, доставку і монтаж виробничого устаткування, а також — не більше 30% гранту — на придбання програмного забезпечення і навчання. Через два місяці після отримання коштів жінки мають відзвітувати про витрачені кошти. ""Запит, який отримали у відповідь — вражає і ще раз доводить, що жінки прагнуть більшого. Наше завдання — створити умови, в яких кожне прагнення трансформуватиметься у нові бізнеси, що нині так необхідні економіці”, — сказала Свириденко. За її словами, до оргкомітету програми, яка стартувала наприкінці квітня, вже надійшло більше тисячі заявок від підприємиць з усієї України. Найбільша кількість заявок надійшла від власниць бізнесу із західного (41% від загальної кількості), центрального (18%) та північного (18%) регіонів України. Найменше — зі східного (14%) та південного (9%). 12% жінок, які подалися на програму, розвивають свій бізнес у сільській місцевості. Програма ""Створюй!"" започаткована Міністерством економіки України за фінансової підтримки UMAEF та за реалізації KSE Foundation. Впроваджується у партнерстві з AT “Ощадбанк”. Кошти для її реалізації є інвестицією Ukraine-Moldova American Enterprise Fund (UMAEF, раніше — Western NIS Enterprise Fund), що підтримує ініціативи з просування реформ в Україні та трансформаційні проєкти. Читати ще Читати ще В Україні відкривається більше нових бізнесів, ніж закривається — Опендатабот"
